"Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"Conopias parvus","Tyrannidae","Passeriformes","8","3","5","0","8","20.0","13.8","8.0","6.2","16.9","81.1","15.8","65.3","19.5","65.0","21.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-11.04","8.08","-1.40","-64.00","3906792.83","Extant"
"Conopias trivirgatus","Tyrannidae","Passeriformes","4","1","3","0","4","16.6","10.7","5.8","4.8","15.1","65.0","12.4","52.6","19.1","51.2","21.0","Inferred","NA","YES","Body Mass","Conopias parvus","Forest","1","1","Carnivore","Invertivore","Insessorial","-28.52","4.44","-14.66","-55.76","2019072.42","Extant"
"Contopus albogularis","Tyrannidae","Passeriformes","4","1","1","2","3","11.8","6.8","5.2","3.6","9.5","61.2","13.7","47.5","22.4","55.6","9.6","Dunning","NA","NO","NA","NA","Forest","2","2","Carnivore","Invertivore","Insessorial","0.47","5.30","3.36","-53.40","114553.48","Extant"
"Contopus caribaeus","Tyrannidae","Passeriformes","9","2","7","0","8","18.1","11.4","7.0","4.4","15.3","72.5","16.9","55.6","23.3","59.3","10.5","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","19.83","26.92","21.88","-78.92","119645.89","Extant"
"Contopus cinereus","Tyrannidae","Passeriformes","20","8","10","2","8","14.7","9.1","6.3","3.6","13.0","70.6","17.1","53.2","24.2","60.0","11.6","Dunning","NA","NO","NA","NA","Forest","2","2","Carnivore","Invertivore","Insessorial","-28.74","21.61","-9.17","-56.50","5448368.76","Extant"
"Contopus cooperi","Tyrannidae","Passeriformes","8","3","4","1","4","19.9","12.2","8.5","6.5","14.7","104.7","38.5","63.2","37.9","68.8","32.1","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","29.44","68.45","51.88","-110.87","9652028.65","Extant"
"Contopus fumigatus","Tyrannidae","Passeriformes","13","5","7","1","5","20.2","11.7","7.0","5.0","15.5","92.6","25.7","66.5","27.9","80.0","19.9","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-27.04","10.87","-3.57","-70.82","1021094.08","Extant"
"Contopus hispaniolensis","Tyrannidae","Passeriformes","4","2","2","0","4","17.5","10.1","6.0","3.6","14.8","74.4","18.0","56.4","24.2","65.3","11.7","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","17.61","19.95","18.91","-71.28","74799.65","Extant"
"Contopus latirostris","Tyrannidae","Passeriformes","4","1","0","3","4","15.7","8.9","6.4","3.1","15.2","69.1","13.3","55.8","19.3","59.2","11.2","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","13.71","18.52","17.31","-64.87","12727.56","Extant"
"Contopus lugubris","Tyrannidae","Passeriformes","4","1","2","1","4","21.6","11.5","6.9","4.9","15.2","91.6","25.9","65.8","28.2","73.0","21.5","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","8.58","10.43","9.51","-83.40","8200.09","Extant"
"Contopus nigrescens","Tyrannidae","Passeriformes","4","2","1","1","4","13.4","7.3","4.7","3.1","11.9","66.8","18.6","48.1","28.0","62.8","9.5","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-11.41","1.65","-5.02","-58.95","254170.68","Extant"
"Contopus ochraceus","Tyrannidae","Passeriformes","5","0","5","0","5","20.0","12.1","7.7","4.9","15.8","90.0","22.5","67.5","25.0","71.0","23.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","8.76","10.07","9.40","-83.32","3144.58","Extant"
"Contopus pallidus","Tyrannidae","Passeriformes","4","0","2","2","4","16.6","8.5","6.0","3.1","13.7","69.8","15.9","53.9","22.8","63.5","9.3","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","17.70","18.53","18.16","-77.31","11021.79","Extant"
"Contopus pertinax","Tyrannidae","Passeriformes","4","2","2","0","3","23.0","13.4","7.8","5.6","17.0","108.3","30.0","77.6","28.3","83.0","27.2","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","12.74","35.25","22.94","-101.76","855800.29","Extant"
"Contopus punensis","Tyrannidae","Passeriformes","4","2","1","1","4","16.8","10.1","6.1","3.4","13.9","68.9","14.6","54.3","21.0","62.4","12.3","EltonTraits_Model","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-13.82","0.15","-6.31","-78.44","197413.60","Extant"
"Contopus sordidulus","Tyrannidae","Passeriformes","14","5","5","4","4","16.4","9.2","6.4","4.1","13.8","82.6","29.0","57.7","33.5","60.2","13.1","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","7.31","67.81","45.91","-116.12","6939803.44","Extant"
"Contopus virens","Tyrannidae","Passeriformes","19","3","7","9","4","14.3","10.0","6.3","4.0","14.2","81.0","25.6","57.0","31.0","62.7","13.9","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","27.90","50.60","40.17","-86.94","4080253.15","Extant"
"Corythopis delalandi","Tyrannidae","Passeriformes","5","2","3","0","4","15.4","8.9","3.8","3.3","23.3","64.4","8.6","55.2","13.4","49.4","15.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Terrestrial","-28.97","-8.87","-19.35","-51.03","2526735.17","Extant"
"Corythopis torquatus","Tyrannidae","Passeriformes","18","2","3","13","6","15.9","8.7","4.3","3.6","26.0","66.3","11.3","54.5","17.3","52.7","14.3","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Terrestrial","-16.99","10.23","-3.71","-62.50","6636740.57","Extant"
"Culicivora caudacuta","Tyrannidae","Passeriformes","6","2","3","1","4","11.2","5.5","3.7","3.1","15.6","41.1","7.0","33.6","17.2","49.7","6.1","Updated_literature","Dunning (2021)","NO","NA","NA","Grassland","3","2","Carnivore","Invertivore","Insessorial","-30.82","-9.07","-19.44","-53.28","2101399.61","Extant"
"Deltarhynchus flammulatus","Tyrannidae","Passeriformes","6","2","2","2","6","17.2","10.3","6.7","4.3","17.6","75.5","12.7","62.8","16.8","77.7","17.2","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","15.65","24.20","19.57","-102.65","66087.53","Extant"
"Elaenia albiceps","Tyrannidae","Passeriformes","37","14","17","6","7","13.4","7.1","3.6","3.5","18.8","74.5","15.3","59.5","20.3","70.4","15.5","Dunning","NA","NO","NA","NA","Forest","2","2","Omnivore","Invertivore","Insessorial","-55.72","1.31","-30.68","-71.29","2239367.68","Extant"
"Elaenia chiriquensis","Tyrannidae","Passeriformes","7","2","4","1","5","12.9","7.8","4.3","4.1","16.8","72.3","14.9","57.4","20.7","62.2","15.4","Dunning","NA","NO","NA","NA","Shrubland","3","2","Omnivore","Omnivore","Insessorial","-26.93","12.46","-6.61","-56.69","7246934.04","Extant"
"Elaenia cristata","Tyrannidae","Passeriformes","4","2","2","0","4","13.1","7.6","4.8","3.5","19.1","66.2","10.0","56.2","15.1","56.5","18.2","Dunning","NA","NO","NA","NA","Shrubland","3","1","Carnivore","Invertivore","Insessorial","-20.95","10.18","-5.98","-51.25","5128248.10","Extant"
"Elaenia dayi","Tyrannidae","Passeriformes","2","1","1","0","2","16.9","8.9","5.8","5.4","27.6","97.2","12.1","85.2","12.4","97.8","34.5","Updated_literature","BoW","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","3.17","5.91","4.97","-63.07","26627.09","Extant"
"Elaenia fallax","Tyrannidae","Passeriformes","6","3","3","0","6","11.5","6.6","3.7","3.3","18.2","67.4","12.6","54.8","18.7","64.6","14.4","Dunning","NA","NO","NA","NA","Forest","1","1","Omnivore","Invertivore","Insessorial","17.88","19.77","18.56","-73.21","20267.77","Extant"
"Elaenia flavogaster","Tyrannidae","Passeriformes","80","19","16","45","12","12.7","7.2","5.0","4.0","21.4","77.4","12.7","64.5","16.4","70.6","24.8","Dunning","NA","NO","NA","NA","Woodland","3","1","Omnivore","Invertivore","Insessorial","-31.00","21.61","-6.86","-58.37","10327940.88","Extant"
"Elaenia frantzii","Tyrannidae","Passeriformes","22","6","10","6","7","12.6","7.0","4.4","3.6","16.6","74.6","15.0","62.5","19.3","65.4","19.6","Dunning","NA","NO","NA","NA","Forest","3","1","Herbivore","Frugivore","Insessorial","0.94","15.47","8.08","-77.18","259467.27","Extant"
"Elaenia gigas","Tyrannidae","Passeriformes","11","3","5","3","8","15.6","8.1","4.9","4.3","19.4","89.5","17.5","72.0","19.5","74.1","31.0","Dunning","NA","NO","NA","NA","Shrubland","1","2","Omnivore","Invertivore","Insessorial","-17.51","4.11","-7.42","-74.35","474517.61","Extant"
"Elaenia martinica","Tyrannidae","Passeriformes","10","6","4","0","4","14.7","7.9","4.4","4.2","20.5","78.0","15.1","63.2","19.3","74.0","20.8","Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Invertivore","Insessorial","11.99","21.53","17.80","-73.04","26788.39","Extant"
"Elaenia mesoleuca","Tyrannidae","Passeriformes","6","2","3","1","4","12.5","7.1","4.1","3.8","16.0","80.0","17.7","62.2","22.1","66.4","17.6","Dunning","NA","NO","NA","NA","Forest","1","2","Omnivore","Invertivore","Insessorial","-34.62","-12.91","-22.62","-49.50","2216525.02","Extant"
"Elaenia obscura","Tyrannidae","Passeriformes","16","6","10","0","4","15.0","7.6","4.0","4.2","20.3","85.1","13.7","71.4","16.1","83.3","23.9","Dunning","NA","NO","NA","NA","Forest","1","1","Omnivore","Invertivore","Insessorial","-32.68","-2.19","-20.93","-52.37","2361528.33","Extant"
"Elaenia pallatangae","Tyrannidae","Passeriformes","69","8","6","55","55","12.7","6.3","3.5","3.1","17.5","73.8","15.6","58.2","21.1","68.6","17.8","Dunning","NA","NO","NA","NA","Forest","2","3","Omnivore","Invertivore","Insessorial","-17.49","6.24","-2.17","-70.78","464505.72","Extant"
"Elaenia parvirostris","Tyrannidae","Passeriformes","12","6","6","0","4","13.2","6.5","3.5","3.1","18.6","69.4","13.9","55.9","19.9","64.9","13.8","Dunning","NA","NO","NA","NA","Forest","2","3","Carnivore","Invertivore","Insessorial","-37.53","-16.20","-27.33","-58.66","2741717.39","Extant"
"Elaenia pelzelni","Tyrannidae","Passeriformes","4","2","2","0","4","13.9","8.4","5.2","4.4","21.9","88.3","13.6","74.8","15.3","74.6","27.3","Inferred","NA","YES","Body Mass","Elaenia spectabilis","Forest","1","1","Omnivore","Invertivore","Insessorial","-11.60","-1.31","-4.52","-62.85","311569.85","Extant"
"Elaenia ridleyana","Tyrannidae","Passeriformes","4","2","0","2","4","14.3","8.0","4.8","4.2","20.0","83.6","15.5","68.2","18.5","75.0","33.0","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Insessorial","-3.88","-3.80","-3.86","-32.43","20.13","Extant"
"Elaenia ruficeps","Tyrannidae","Passeriformes","4","2","2","0","4","15.6","9.7","4.5","4.0","19.6","66.0","9.0","57.0","13.7","55.0","18.7","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-9.60","6.87","3.63","-65.98","709154.38","Extant"
"Elaenia spectabilis","Tyrannidae","Passeriformes","16","6","8","2","7","14.9","8.0","4.6","4.1","19.2","81.7","15.7","67.1","18.9","72.3","27.3","Dunning","NA","NO","NA","NA","Shrubland","1","3","Omnivore","Invertivore","Insessorial","-34.13","-8.83","-18.57","-52.85","2884786.09","Extant"
"Elaenia strepera","Tyrannidae","Passeriformes","11","5","6","0","6","12.5","5.8","4.3","3.5","16.2","78.6","17.0","61.6","21.6","63.7","19.3","Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Invertivore","Insessorial","-29.94","-16.56","-23.09","-64.63","231149.28","Extant"
"Empidonax affinis","Tyrannidae","Passeriformes","5","2","3","0","4","14.0","8.4","4.4","3.4","15.2","71.8","15.5","56.0","21.7","59.4","11.3","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","14.27","28.65","21.37","-101.42","480233.44","Extant"
"Empidonax albigularis","Tyrannidae","Passeriformes","13","3","4","6","4","15.7","8.1","5.7","3.6","16.7","63.0","14.2","47.0","23.2","54.8","9.6","Dunning","NA","NO","NA","NA","Human Modified","2","1","Carnivore","Invertivore","Insessorial","8.68","28.64","20.15","-99.41","419254.18","Extant"
"Empidonax alnorum","Tyrannidae","Passeriformes","34","7","3","24","3","15.2","8.5","5.8","4.0","17.3","68.4","12.4","52.2","19.2","56.1","12.7","Dunning","NA","NO","NA","NA","Shrubland","1","3","Carnivore","Invertivore","Insessorial","34.11","68.27","54.60","-104.41","7110677.02","Extant"
"Empidonax atriceps","Tyrannidae","Passeriformes","16","5","11","0","4","12.4","6.4","4.2","3.0","15.5","60.0","13.5","46.2","22.6","50.4","9.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","8.76","10.31","9.47","-83.42","3661.22","Extant"
"Empidonax difficilis","Tyrannidae","Passeriformes","5","2","3","0","4","14.4","8.2","5.2","3.3","16.0","65.0","14.1","50.5","21.8","58.2","10.7","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","22.93","60.17","49.10","-123.85","864986.35","Extant"
"Empidonax flavescens","Tyrannidae","Passeriformes","15","3","11","1","4","14.1","7.7","5.5","3.7","16.2","66.2","13.2","50.9","20.5","55.5","12.5","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","8.45","17.40","14.50","-88.77","165287.12","Extant"
"Empidonax flaviventris","Tyrannidae","Passeriformes","35","4","7","24","4","12.9","8.4","5.7","3.7","17.2","66.9","15.3","48.3","24.1","52.6","11.8","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","41.00","64.06","52.96","-94.52","5332665.34","Extant"
"Empidonax fulvifrons","Tyrannidae","Passeriformes","10","2","8","0","4","12.4","6.6","4.5","3.0","14.1","59.5","11.2","47.8","19.0","53.3","7.9","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","13.47","31.60","22.27","-101.58","511230.44","Extant"
"Empidonax hammondii","Tyrannidae","Passeriformes","4","2","2","0","4","12.3","7.1","4.1","3.0","14.6","66.6","15.4","51.2","23.1","53.8","10.4","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","35.89","67.70","51.42","-125.11","2762701.72","Extant"
"Empidonax minimus","Tyrannidae","Passeriformes","18","2","3","13","4","12.4","7.6","5.4","3.5","15.9","61.1","14.2","47.9","22.8","50.8","10.0","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","39.58","65.34","51.73","-102.26","5753545.24","Extant"
"Empidonax oberholseri","Tyrannidae","Passeriformes","4","2","2","0","4","13.5","7.8","4.6","3.2","17.5","66.6","12.5","54.1","18.7","60.6","10.4","Dunning","NA","NO","NA","NA","Forest","2","3","Carnivore","Invertivore","Insessorial","30.80","60.80","44.18","-116.17","2680790.46","Extant"
"Empidonax occidentalis","Tyrannidae","Passeriformes","10","2","6","2","4","16.2","8.3","5.4","3.7","16.3","66.7","13.3","51.2","20.6","64.0","11.6","Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Invertivore","Insessorial","15.97","57.10","38.02","-110.22","2350983.86","Extant"
"Empidonax traillii","Tyrannidae","Passeriformes","15","2","2","11","4","13.1","8.5","5.9","4.3","18.4","66.5","16.2","52.6","23.5","59.1","13.4","Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Invertivore","Insessorial","29.50","56.00","42.25","-103.28","7301691.61","Extant"
"Empidonax virescens","Tyrannidae","Passeriformes","48","5","8","35","5","13.3","9.1","6.1","4.0","17.1","71.0","19.9","52.1","27.5","58.8","12.6","Dunning","NA","NO","NA","NA","Forest","2","3","Carnivore","Invertivore","Insessorial","26.59","45.34","36.73","-87.99","3006134.68","Extant"
"Empidonax wrightii","Tyrannidae","Passeriformes","4","1","3","0","4","14.8","8.6","4.5","3.6","18.0","72.0","15.3","56.7","21.3","60.6","12.3","Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Invertivore","Insessorial","32.08","50.39","39.58","-113.24","1149378.23","Extant"
"Empidonomus aurantioatrocristatus","Tyrannidae","Passeriformes","4","2","2","0","4","14.6","9.7","6.6","4.7","14.7","91.0","18.3","72.7","20.0","75.8","33.0","Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Invertivore","Insessorial","-41.17","-2.28","-20.27","-56.96","5421068.39","Extant"
"Empidonomus varius","Tyrannidae","Passeriformes","20","9","8","3","4","17.5","10.5","6.3","5.5","15.3","96.8","23.5","73.3","24.2","80.6","27.1","Dunning","NA","NO","NA","NA","Woodland","2","3","Omnivore","Invertivore","Insessorial","-34.98","11.45","-12.08","-54.08","10542042.68","Extant"
"Euscarthmus meloryphus","Tyrannidae","Passeriformes","11","3","5","3","4","12.1","6.7","2.9","3.1","18.4","45.8","4.8","40.5","10.6","39.1","6.8","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-34.67","12.46","-15.61","-53.29","6417213.08","Extant"
"Euscarthmus rufomarginatus","Tyrannidae","Passeriformes","3","2","1","0","2","10.9","6.4","3.6","3.1","18.4","41.7","5.1","36.7","12.1","48.2","6.0","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-23.43","2.26","-15.76","-50.61","2447901.78","Extant"
"Fluvicola albiventer","Tyrannidae","Passeriformes","4","2","1","1","4","16.6","10.7","4.7","3.1","20.4","68.5","11.2","57.3","16.2","52.0","11.6","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Invertivore","Terrestrial","-35.18","0.65","-14.38","-51.87","5618018.64","Extant"
"Fluvicola nengeta","Tyrannidae","Passeriformes","8","3","2","3","4","17.8","11.5","4.9","3.7","22.1","70.5","11.5","58.9","16.4","64.0","21.0","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Invertivore","Terrestrial","-29.30","1.84","-14.57","-46.63","3642098.17","Extant"
"Fluvicola pica","Tyrannidae","Passeriformes","12","2","5","5","9","16.4","9.6","4.7","3.4","20.7","63.9","10.8","53.6","16.8","48.6","12.3","Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Invertivore","Insessorial","1.58","12.46","6.48","-66.17","1658423.81","Extant"
"Gubernetes yetapa","Tyrannidae","Passeriformes","4","2","2","0","4","26.5","15.0","9.2","8.2","28.6","125.6","33.2","92.4","26.5","248.8","68.4","Dunning","NA","NO","NA","NA","Grassland","3","2","Carnivore","Invertivore","Insessorial","-29.55","-11.43","-19.85","-52.33","2082131.95","Extant"
"Hemitriccus cinnamomeipectus","Tyrannidae","Passeriformes","4","1","3","0","4","13.9","7.9","3.9","3.3","18.2","48.9","4.2","44.6","8.7","42.4","7.5","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-6.84","-2.94","-5.35","-78.24","6101.28","Extant"
"Hemitriccus diops","Tyrannidae","Passeriformes","5","0","3","2","5","12.9","7.3","4.0","3.1","18.2","53.2","6.1","47.1","11.5","49.4","10.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-27.81","-12.55","-22.46","-47.44","737548.44","Extant"
"Hemitriccus flammulatus","Tyrannidae","Passeriformes","7","0","0","7","2","14.3","7.2","4.5","3.0","17.7","51.1","7.4","43.7","14.6","41.4","10.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-17.85","-6.21","-12.60","-67.76","806774.08","Extant"
"Hemitriccus furcatus","Tyrannidae","Passeriformes","5","2","1","2","5","10.2","6.9","4.2","3.2","15.3","43.1","4.4","38.7","10.3","37.8","9.4","Inferred","NA","YES","Body Mass","Hemitriccus rufigularis","Forest","1","1","Carnivore","Invertivore","Insessorial","-23.91","-14.36","-21.77","-44.03","7556.76","Extant"
"Hemitriccus granadensis","Tyrannidae","Passeriformes","16","2","4","10","7","13.8","6.5","3.3","2.9","16.6","45.2","3.9","41.0","8.7","42.1","7.9","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-16.29","11.09","0.48","-75.27","276758.68","Extant"
"Hemitriccus griseipectus","Tyrannidae","Passeriformes","11","3","5","3","5","12.8","7.7","4.1","3.3","14.8","47.5","5.4","42.7","11.4","41.6","9.0","Updated_literature","BoW","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-17.93","-1.12","-8.03","-61.43","2659877.65","Extant"
"Hemitriccus inornatus","Tyrannidae","Passeriformes","4","2","2","0","4","12.1","7.5","4.3","2.9","14.9","47.0","6.1","40.9","13.1","37.8","8.3","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-3.00","4.00","-0.40","-63.19","34481.44","Extant"
"Hemitriccus iohannis","Tyrannidae","Passeriformes","4","0","1","3","2","13.6","8.1","4.6","3.5","17.8","51.0","6.7","45.3","13.0","39.8","10.0","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-13.55","0.73","-7.88","-70.23","1134921.91","Extant"
"Hemitriccus josephinae","Tyrannidae","Passeriformes","2","1","0","1","2","13.2","8.7","5.6","3.5","18.2","48.7","4.6","44.1","9.1","43.0","10.8","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-2.93","7.78","1.90","-55.35","666063.43","Extant"
"Hemitriccus kaempferi","Tyrannidae","Passeriformes","2","1","1","0","1","12.2","7.4","4.0","3.3","17.8","47.1","4.1","42.4","8.8","40.5","8.5","Updated_live.sample","Live sample (museum data)","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-27.37","-25.54","-26.55","-48.80","7847.61","Extant"
"Hemitriccus margaritaceiventer","Tyrannidae","Passeriformes","21","7","11","3","4","14.3","8.7","3.7","3.6","19.4","49.0","4.3","44.6","8.8","44.3","8.4","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Insessorial","-32.98","12.46","-14.90","-53.30","5809388.94","Extant"
"Hemitriccus minimus","Tyrannidae","Passeriformes","4","2","2","0","4","13.2","7.4","3.8","3.0","15.2","46.8","4.5","42.3","9.6","37.2","7.0","Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-15.63","-1.32","-7.98","-57.34","2469713.05","Extant"
"Hemitriccus minor","Tyrannidae","Passeriformes","7","1","6","0","7","12.0","7.3","4.4","3.1","14.8","46.4","6.3","40.1","13.6","35.8","7.4","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-15.54","-0.13","-7.40","-58.60","2416974.33","Extant"
"Hemitriccus mirandae","Tyrannidae","Passeriformes","9","4","4","1","4","13.2","7.8","3.8","3.4","17.3","50.3","6.4","43.7","12.8","45.8","10.0","Inferred","NA","YES","Body Mass","Hemitriccus kaempferi","Forest","2","1","Carnivore","Invertivore","Insessorial","-9.70","-3.34","-5.90","-38.31","71439.38","Extant"
"Hemitriccus nidipendulus","Tyrannidae","Passeriformes","4","0","0","4","4","13.1","7.8","3.5","2.9","17.5","43.8","3.6","40.1","8.4","29.8","7.5","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-25.25","-10.48","-19.76","-43.93","542148.01","Extant"
"Hemitriccus obsoletus","Tyrannidae","Passeriformes","4","1","1","2","4","13.6","7.1","4.2","3.1","19.7","54.8","7.0","47.7","12.9","49.2","11.6","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-30.23","-21.78","-26.68","-50.86","262970.93","Extant"
"Hemitriccus orbitatus","Tyrannidae","Passeriformes","4","1","3","0","3","13.8","8.1","4.1","3.1","17.9","53.2","7.2","46.0","13.6","49.8","9.7","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-30.54","-18.15","-22.37","-47.42","663643.42","Extant"
"Hemitriccus rufigularis","Tyrannidae","Passeriformes","4","2","2","0","4","14.9","8.7","4.2","3.1","17.4","53.0","7.0","46.0","13.3","45.8","9.4","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Insessorial","-17.31","0.92","-11.43","-72.06","91223.23","Extant"
"Hemitriccus spodiops","Tyrannidae","Passeriformes","7","1","6","0","5","13.2","7.3","3.9","3.1","15.4","49.1","5.8","43.2","11.8","40.1","7.2","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-17.95","-9.86","-15.11","-67.38","77383.69","Extant"
"Hemitriccus striaticollis","Tyrannidae","Passeriformes","4","1","3","0","4","13.7","8.3","4.1","3.2","17.8","48.2","4.9","43.3","10.2","40.0","8.6","Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","-18.70","4.67","-10.41","-54.57","4016133.45","Extant"
"Hemitriccus zosterops","Tyrannidae","Passeriformes","4","0","4","0","4","12.9","7.2","4.0","2.9","15.9","50.1","5.1","45.1","10.1","47.1","8.7","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-10.59","6.00","-0.46","-64.99","2154385.69","Extant"
"Hirundinea ferruginea","Tyrannidae","Passeriformes","8","2","3","3","4","20.9","13.5","8.2","5.0","14.0","108.6","34.6","73.6","31.9","75.2","30.6","Dunning","NA","NO","NA","NA","Rock","3","2","Carnivore","Invertivore","Insessorial","-35.26","11.24","-14.88","-52.81","6893938.52","Extant"
"Hymenops perspicillatus","Tyrannidae","Passeriformes","21","8","13","0","4","19.3","10.0","4.2","4.5","27.1","88.4","12.3","75.8","14.0","63.6","22.9","Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Terrestrial","-47.59","-22.38","-34.57","-63.51","2683008.90","Extant"
"Inezia caudata","Tyrannidae","Passeriformes","5","3","1","1","5","10.0","6.4","3.6","3.1","16.8","48.5","5.1","43.4","10.5","49.5","7.5","Updated_literature","BoW","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","3.01","12.46","8.35","-65.62","597282.08","Extant"
"Inezia inornata","Tyrannidae","Passeriformes","10","2","5","3","10","9.9","6.1","3.0","2.4","15.3","47.5","8.0","39.5","16.7","44.6","12.0","Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Invertivore","Insessorial","-24.92","-12.47","-18.50","-60.70","1166513.79","Extant"
"Inezia subflava","Tyrannidae","Passeriformes","4","2","2","0","4","12.2","7.2","3.9","3.0","16.2","45.5","5.5","40.0","12.1","46.0","8.4","Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-14.46","6.29","-2.88","-58.65","972309.30","Extant"
"Inezia tenuirostris","Tyrannidae","Passeriformes","4","2","2","0","4","10.0","5.8","2.8","2.6","15.0","43.2","5.5","37.7","12.8","38.9","5.0","Dunning","NA","NO","NA","NA","Woodland","2","1","Carnivore","Invertivore","Insessorial","10.22","12.46","11.14","-71.22","59966.60","Extant"
