Species Tm
Hypomesus_pretiosus 1.5
Hypomesus_transpacificus 1
Hyporthodus_niveatus 4.92
Hypsopsetta_guttulata 2.5
Hypsypops_rubicundus 5
Hyrcanogobius_bergi 1
Ichthyomyzon_castaneus 6
Ichthyomyzon_fossor 6
Ichthyomyzon_unicuspis 6
Ictiobus_cyprinellus 5
Ilisha_elongata 2
Ilyodon_lennoni 0.5
Isopsetta_isolepis 2
Istiophorus_albicans 3.5
Isurus_oxyrinchus 8
Isurus_oxyrinchus 8
Isurus_oxyrinchus 18
Isurus_oxyrinchus 20
Jaydia_lineata 1
Jaydia_lineata 1
Jaydia_lineata 1
Jenkinsia_lamprotaenia 0.2
Jenynsia_lineata 1
Johnius_carutta 1.4
Kajikia_audax 2
Katsuwonus_pelamis 3
Knipowitschia_caucasica 1
Knipowitschia_panizzae 1
Kryptolebias_marmoratus 0.5
Labeo_rohita 2.7
Labeo_rohita 2.94
Labeobarbus_kimberleyensis 6.4
Labeobarbus_kimberleyensis 9
Labrus_bergylta 2
Labrus_merula 2
Labrus_mixtus 2
Lachnolaimus_maximus 1.1
Lachnolaimus_maximus 1.6
Lachnolaimus_maximus 7
Lachnolaimus_maximus 6.5
Ladislavia_taczanowskii 3
Lagocephalus_sceleratus 3
Lagocephalus_sceleratus 3
Laimosemion_xiphidius 1
Lamna_nasus 10
Lamna_nasus 17
Lampetra_planeri 4
Lates_angustifrons 4
Lates_angustifrons 4
Lates_mariae 3
Lates_mariae 3
Lates_mariae 4
Lates_mariae 4
Lates_microlepis 4
Lates_microlepis 4
Lates_stappersii 2
Lates_stappersii 2
Lates_stappersii 2
Lates_stappersii 2
Lates_stappersii 2.3
Latris_lineata 6.2
Latris_lineata 6.8
Leiopotherapon_unicolor 1
Leiopotherapon_unicolor 1
Lepidophanes_guentheri 0.5
Lepidopsetta_bilineata 9
Lepidopsetta_bilineata 9
Lepidopsetta_polyxystra 6
Lepidopsetta_polyxystra 8
Lepidopsetta_polyxystra 7
Lepidorhombus_boscii 2
Lepidorhombus_boscii 1
Lepidorhombus_boscii 1
Lepidorhombus_whiffiagonis 1.5
Lepidorhombus_whiffiagonis 4
Lepidorhombus_whiffiagonis 2
Lepidorhombus_whiffiagonis 2.5
Lepidorhombus_whiffiagonis 3
Lepidotrigla_cavillone 2
Lepisosteus_oculatus 4
Lepisosteus_osseus 6
Lepisosteus_osseus 6
Lepomis_gibbosus 2
Leporinus_acutidens 2
Leporinus_acutidens 1
Leptoclinus_maculatus 7
Leptoclinus_maculatus 6
Leptocottus_armatus 1
Lesueurigobius_friesii 2
Lethenteron_appendix 5
Lethrinops_parvidens 3
Lethrinus_borbonicus 1.3
Lethrinus_borbonicus 2
Lethrinus_lentjan 3.5
Lethrinus_lentjan 1.8
Lethrinus_lentjan 2.4
Lethrinus_lentjan 3.8
Lethrinus_mahsena 6
Lethrinus_microdon 3
Lethrinus_microdon 4.8
Lethrinus_miniatus 4
Lethrinus_nebulosus 4
Lethrinus_nebulosus 3
Lethrinus_nebulosus 4.6
Lethrinus_nebulosus 8
Lethrinus_nebulosus 9
Lethrinus_nebulosus 5.9
Lethrinus_olivaceus 6
Lethrinus_ornatus 2
Leucaspius_delineatus 1
Leuciscus_aspius 4
Leuciscus_aspius 4
Leuciscus_idus 5
Leuciscus_idus 5.5
Leuciscus_leuciscus 3
Leuciscus_leuciscus 3
Leuciscus_leuciscus 4
Leuciscus_leuciscus 4
Leuciscus_leuciscus 4
Leuciscus_waleckii 3
Leucoraja_erinacea 4.5
Leucoraja_erinacea 4
Leucoraja_naevus 8
Leucoraja_naevus 9
Leuresthes_tenuis 1.5
Limanda_aspera 4
Limanda_aspera 5
Limanda_aspera 7
Limanda_aspera 10.14
Limanda_aspera 10.5
Limanda_aspera 7
Limanda_ferruginea 6.12
Limanda_ferruginea 6.2
Limanda_ferruginea 6.8
Limanda_ferruginea 6.1
Limanda_ferruginea 1.8
Limanda_ferruginea 1.3
Limanda_ferruginea 4.4
Limanda_ferruginea 1.6
Limanda_ferruginea 1.8
Limanda_ferruginea 4.7
Limanda_ferruginea 2.6
Limanda_ferruginea 2.6
Limanda_ferruginea 5.3
Limanda_ferruginea 5.5
Limanda_limanda 2.3
Limanda_limanda 3
Limanda_limanda 3.5
Limanda_punctatissima 4
Limia_vittata 0.66
Lithognathus_aureti 6
Lithognathus_aureti 4.8
Lithognathus_aureti 9.7
Lithognathus_aureti 7.2
Lithognathus_mormyrus 2
Lithognathus_mormyrus 2
Lithognathus_mormyrus 2
Lithognathus_mormyrus 2
Lithognathus_mormyrus 3
Lobotes_surinamensis 1
Lophius_litulon 5.4
Lophius_litulon 6.2
Lophius_piscatorius 4.5
Lopholatilus_chamaeleonticeps 2
Lopholatilus_chamaeleonticeps 5
Lopholatilus_chamaeleonticeps 5
Lota_lota 4
Lota_lota 3
Lota_lota 7
Lota_lota 6
Lumpenus_lampretaeformis 3
Lutjanus_analis 5.5
Lutjanus_argentimaculatus 4
Lutjanus_argentimaculatus 5
Lutjanus_argentiventris 4
Lutjanus_bohar 9.39
Lutjanus_carponotatus 1.9
Lutjanus_carponotatus 2.4
Lutjanus_ehrenbergii 1.7
Lutjanus_ehrenbergii 1.8
Lutjanus_fulviflamma 1.6
Lutjanus_fulviflamma 1.9
Lutjanus_fulvus 3
Lutjanus_fulvus 4
Lutjanus_griseus 2
Lutjanus_griseus 2
Lutjanus_griseus 3
Lutjanus_jocu 5.5
Lutjanus_synagris 2
Lutjanus_synagris 2
Lutjanus_synagris 1
Lutjanus_synagris 2
Lutjanus_vitta 1
Lutjanus_vivanus 5
Luxilus_chrysocephalus 2
Luxilus_cornutus 1
Lyopsetta_exilis 4
Lythrurus_umbratilis 1
Lythrypnus_zebra 0.5
Macrhybopsis_storeriana 2
Macrourus_berglax 14.8
Mallotus_villosus 2
Mallotus_villosus 3
Mallotus_villosus 2
Mallotus_villosus 2
Mallotus_villosus 3
Mallotus_villosus 2
Mallotus_villosus 2
Mallotus_villosus 3
Margariscus_margarita 4
Maurolicus_muelleri 1
Medialuna_californiensis 2
Megalobrama_terminalis 6
Megalops_atlanticus 10
Melanogrammus_aeglefinus 2.62
Melanogrammus_aeglefinus 6.5
Melanogrammus_aeglefinus 5.79
Melanogrammus_aeglefinus 3
Melanogrammus_aeglefinus 3.04
Melanogrammus_aeglefinus 4.5
Melanogrammus_aeglefinus 4.5
Melanogrammus_aeglefinus 3.5
Melanogrammus_aeglefinus 5.5
Melanogrammus_aeglefinus 4.5
Melanogrammus_aeglefinus 3.5
Melanogrammus_aeglefinus 2
Melanogrammus_aeglefinus 2.5
Melanogrammus_aeglefinus 1.99
Melanogrammus_aeglefinus 1.3
Melanogrammus_aeglefinus 1.5
Melanogrammus_aeglefinus 2
Melanogrammus_aeglefinus 2.5
Melanogrammus_aeglefinus 1.8
Melanogrammus_aeglefinus 2.1
Melanogrammus_aeglefinus 4.5
Melanogrammus_aeglefinus 4.88
Melanogrammus_aeglefinus 2.8
Melanotaenia_splendida 1
Melanotaenia_splendida 1
Menticirrhus_americanus 1
Menticirrhus_americanus 1
Menticirrhus_americanus 2
