Taxon	Tendency	BM	Tb min	TMRmin	TMRrel	TBDmax	TBDmean	IBE	LAT	References
Dasyurus viverrinus	DT	1	25	—	—	—	—	—	?41.61	Moyle in Reardon (1999)
Myrmecobius fasciatus	DT	0.5	19.1	—	—	15.3	9.7	—	?33.82	Cooper & Withers (2004)
Ningaui yvonnae	DT	0.011	15.3	0.3	23	12.3	7.5	—	?31.98	Geiser & Baudinette (1988)
Planigale gilesi	DT	0.008	14.3	0.36	25	15.3	8.8	—	?29.48	Geiser & Baudinette (1988)
Planigale ingrami	DT	0.0076	—	0.48	30	4	—	—	?18.58	Dawson & Wolfers (1978)
Planigale maculata	DT	0.013	19.6	0.4	40	1.8	—	—	?21.9	Morton & Lee (1978)
Planigale tenuirostris	DT	0.007	—	0.48	30	4	—	—	?28.53	Dawson & Wolfers (1978)
Pseudantechinus macdonnellensis	DT	0.031	15.9	—	—	14.3	5.8	—	?22.83	Geiser & Pavey (2007)
Sminthopsis crassicaudata	DT	0.017	10.8	0.27	22	19.5	15	—	?28.79	Geiser & Baudinette (1987) and Warnecke, Turner & Geiser (2008)
Sminthopsis douglasi	DT	0.06	16.9	0.43	40	8.8	3.2	—	?20.1	Muller (1996)
Sminthopsis macroura	DT	0.024	11.3	0.3	29	25.9	11	—	?24.29	Geiser & Baudinette (1987) and Kortner & Geiser (2009)
Sminthopsis murina	DT	0.019	15	0.25	22	8	—	—	?27.47	Geiser et al. (1984)
Sminthopsis ooldea	DT	0.0111	—	0.77	48	—	—	—	?24.7	Tomlinson, Withers & Maloney (2012)
Gracilinanus agilis	DT	0.0291	20	0.3	30	—	—	—	?18.71	Cooper, Withers & Cruz?Neto (2009)
Marmosa microtarsus	DT	0.013	16	0.25	18	9	—	—	15.53	Morrison & McNab (1962)
Thylamys elegans	DT	0.032	14	0.4	47	20	14	—	?30	Opazo, Nespolo & Bozinovic (1999) and Silva?Duran & Bozinovic (1999)
