Table S4

A list of the species in the analysis, their geometric mean clutch size (Clutch), sources used for their
geographic distributions (Range) and for data on clutch sizes and intrinsic variables (Traits). For
details on source abbreviations see Fig. S1 and Table S5.

Order              Family          Species                       Clutch   Range Traits
Anseriformes   Anatidae         Biziura lobata                 2.4        1   HBW1
Anseriformes   Anatidae         Stictonetta naevosa            7.1        1   HBW1
Anseriformes   Anatidae         Cygnus olor                    5.9        1   HBW1
Anseriformes   Anatidae         Cygnus atratus                 5.5        1   HBW1
Anseriformes   Anatidae         Cygnus melanocorypha           5.7        1   HBW1
Anseriformes   Anatidae         Cygnus cygnus                  4.5        1   HBW1
Anseriformes   Anatidae         Cygnus buccinator              5.7        1   HBW1
Anseriformes   Anatidae         Cygnus columbianus             3.9        1   HBW1
Anseriformes   Anatidae         Coscoroba coscoroba            5.3        1   HBW1
Anseriformes   Anatidae         Anser cygnoides                5.5        1   HBW1
Anseriformes   Anatidae         Anser brachyrhynchus           3.9        1   HBW1
Anseriformes   Anatidae         Anser fabalis                  4.9        1   HBW1
Anseriformes   Anatidae         Anser albifrons                5.5        1   HBW1
Anseriformes   Anatidae         Anser erythropus               4.9        1   HBW1
Anseriformes   Anatidae         Anser anser                    4.9        1   HBW1


Table S4                                                                             Page 4 of 85
Order          Family     Species                  Clutch     Range Traits
Anseriformes   Anatidae   Anser indicus                 4.9       1   HBW1
Anseriformes   Anatidae   Anser caerulescens            4.5       1   HBW1
Anseriformes   Anatidae   Anser rossii                  4.5       1   HBW1
Anseriformes   Anatidae   Anser canagica                5.0       1   HBW1
Anseriformes   Anatidae   Branta sandvicensis           3.9       1   HBW1
Anseriformes   Anatidae   Branta canadensis             5.3       1   HBW1
Anseriformes   Anatidae   Branta leucopsis              4.5       1   HBW1
Anseriformes   Anatidae   Branta bernicla               3.9       1   HBW1
Anseriformes   Anatidae   Branta ruficollis             6.5       1   HBW1
Anseriformes   Anatidae   Cereopsis novaehollandiae     4.2       1   HBW1
Anseriformes   Anatidae   Sarkidiornis melanotos       11.0       1   HBW1
Anseriformes   Anatidae   Tadorna ferruginea            8.5       1   HBW1
Anseriformes   Anatidae   Tadorna cana                 10.0       1   HBW1
Anseriformes   Anatidae   Tadorna tadornoides           8.9       1   HBW1
Anseriformes   Anatidae   Tadorna variegata             8.9       1   HBW1
Anseriformes   Anatidae   Tadorna tadorna               8.9       1   HBW1
Anseriformes   Anatidae   Tadorna radjah                8.5       1   HBW1
Anseriformes   Anatidae   Malacorhynchus membranaceu    6.9       1   HBW1
Anseriformes   Anatidae   Neochen jubata                7.7       1   HBW1
Anseriformes   Anatidae   Chloephaga melanoptera        7.1       1   HBW1
Anseriformes   Anatidae   Chloephaga picta              6.3       1   HBW1
Anseriformes   Anatidae   Chloephaga hybrida            4.6       1   HBW1
Anseriformes   Anatidae   Chloephaga poliocephala       4.9       1   HBW1
Anseriformes   Anatidae   Chloephaga rubidiceps         6.3       1   HBW1
Anseriformes   Anatidae   Merganetta armata             3.5       1   HBW1
Anseriformes   Anatidae   Pteronetta hartlaubii         8.8       1   HBW1
Anseriformes   Anatidae   Cairina moschata             11.0       1   HBW1
Anseriformes   Anatidae   Cairina scutulata             8.8       1   HBW1
Anseriformes   Anatidae   Aix sponsa                   11.6       1   HBW1
Anseriformes   Anatidae   Aix galericulata             10.4       1   HBW1
Anseriformes   Anatidae   Nettapus pulchellus           9.8       1   HBW1
Anseriformes   Anatidae   Nettapus coromandelianus      9.8       1   HBW1
Anseriformes   Anatidae   Nettapus auritus              8.5       1   HBW1
Anseriformes   Anatidae   Callonetta leucophrys         8.5       1   HBW1
Anseriformes   Anatidae   Chenonetta jubata             9.4       1   HBW1
Anseriformes   Anatidae   Amazonetta brasiliensis       6.9       1   HBW1
Anseriformes   Anatidae   Anas specularis               4.9       1   HBW1
Anseriformes   Anatidae   Anas capensis                 8.1       1   HBW1
Anseriformes   Anatidae   Anas strepera                 9.8       1   HBW1
Anseriformes   Anatidae   Anas falcata                  7.3       1   HBW1
Anseriformes   Anatidae   Anas penelope                 8.5       1   HBW1
Anseriformes   Anatidae   Anas americana                7.9       1   HBW1
Anseriformes   Anatidae   Anas sibilatrix               6.3       1   HBW1
Anseriformes   Anatidae   Anas sparsa                   5.7       1   HBW1
Anseriformes   Anatidae   Anas rubripes                 9.2       1   HBW1
Anseriformes   Anatidae   Anas platyrhynchos           10.8       1   HBW1
Anseriformes   Anatidae   Anas poecilorhyncha           7.9       1   HBW1
Anseriformes   Anatidae   Anas superciliosa             8.9       1   HBW1
Anseriformes   Anatidae   Anas luzonica                10.0       1   HBW1
Anseriformes   Anatidae   Anas undulata                 6.9       1   HBW1
Anseriformes   Anatidae   Anas melleri                  7.1       1   HBW1
Anseriformes   Anatidae   Anas discors                  9.4       1   HBW1
Anseriformes   Anatidae   Anas cyanoptera              10.4       1   HBW1
Anseriformes   Anatidae   Anas smithii                  7.7       1   HBW1
Anseriformes   Anatidae   Anas platalea                 6.3       1   HBW1
Anseriformes   Anatidae   Anas rhynchotis               9.9       1   HBW1
Anseriformes   Anatidae   Anas clypeata                 9.9       1   HBW1
Anseriformes   Anatidae   Anas bernieri                 4.5       1   HBW1
Anseriformes   Anatidae   Anas gibberifrons             7.5       1   HBW1
Anseriformes   Anatidae   Anas castanea                 8.4       1   HBW1
Anseriformes   Anatidae   Anas aucklandica              5.5       1   HBW1
Anseriformes   Anatidae   Anas bahamensis               7.7       1   HBW1
Anseriformes   Anatidae   Anas erythrorhyncha           7.7       1   HBW1


Table S4                                                                     Page 5 of 85
Order           Family          Species                       Clutch   Range Traits
Anseriformes    Anatidae        Anas flavirostris               6.3        1   HBW1
Anseriformes    Anatidae        Anas acuta                      7.9        1   HBW1
Anseriformes    Anatidae        Anas georgica                   6.3        1   HBW1
Anseriformes    Anatidae        Anas querquedula                8.5        1   HBW1
Anseriformes    Anatidae        Anas formosa                    7.3        1   HBW1
Anseriformes    Anatidae        Anas crecca                     9.4        1   HBW1
Anseriformes    Anatidae        Anas versicolor                 7.7        1   HBW1
Anseriformes    Anatidae        Anas hottentota                 7.3        1   HBW1
Anseriformes    Anatidae        Marmaronetta angustirostris     9.9        1   HBW1
Anseriformes    Anatidae        Netta rufina                    8.9        1   HBW1
Anseriformes    Anatidae        Netta peposaca                 10.0        1   HBW1
Anseriformes    Anatidae        Netta erythrophthalma           8.7        1   HBW1
Anseriformes    Anatidae        Aythya ferina                   8.9        1   HBW1
Anseriformes    Anatidae        Aythya valisineria              9.5        1   HBW1
Anseriformes    Anatidae        Aythya americana                9.0        1   HBW1
Anseriformes    Anatidae        Aythya collaris                 8.9        1   HBW1
Anseriformes    Anatidae        Aythya nyroca                   8.9        1   HBW1
Anseriformes    Anatidae        Aythya baeri                    7.7        1   HBW1
Anseriformes    Anatidae        Aythya australis               10.8        1   HBW1
Anseriformes    Anatidae        Aythya fuligula                 9.4        1   HBW1
Anseriformes    Anatidae        Aythya novaeseelandiae          5.7        1   HBW1
Anseriformes    Anatidae        Aythya marila                   9.4        1   HBW1
Anseriformes    Anatidae        Aythya affinis                  9.9        1   HBW1
Anseriformes    Anatidae        Somateria mollissima            4.9        1   HBW1
Anseriformes    Anatidae        Somateria spectabilis           4.5        1   HBW1
Anseriformes    Anatidae        Somateria fischeri              4.5        1   HBW1
Anseriformes    Anatidae        Polysticta stelleri             6.9        1   HBW1
Anseriformes    Anatidae        Histrionicus histrionicus       5.9        1   HBW1
Anseriformes    Anatidae        Clangula hyemalis               7.3        1   HBW1
Anseriformes    Anatidae        Melanitta nigra                 6.9        1   HBW1
Anseriformes    Anatidae        Melanitta perspicillata         6.3        1   HBW1
Anseriformes    Anatidae        Melanitta fusca                 7.9        1   HBW1
Anseriformes    Anatidae        Bucephala clangula              9.4        1   HBW1
Anseriformes    Anatidae        Bucephala islandica             9.4        1   HBW1
Anseriformes    Anatidae        Bucephala albeola               7.7        1   HBW1
Anseriformes    Anatidae        Mergellus albellus              7.9        1   HBW1
Anseriformes    Anatidae        Lophodytes cucullatus          11.0        1   HBW1
Anseriformes    Anatidae        Mergus serrator                 8.9        1   HBW1
Anseriformes    Anatidae        Mergus squamatus               10.0        1   HBW1
Anseriformes    Anatidae        Mergus merganser                9.8        1   HBW1
Turniciformes   Turnicidae      Turnix sylvatica                3.7        1   HBW3
Turniciformes   Turnicidae      Turnix maculosa                 4.0        1   HBW3
Turniciformes   Turnicidae      Turnix hottentotta              3.0        1   HBW3
Turniciformes   Turnicidae      Turnix tanki                    4.0        1   HBW3
Turniciformes   Turnicidae      Turnix suscitator               4.2        1   HBW3
