"","species_name","Beak_length_Culmen","Beak_length_Nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Hand_wing_index","Tail_length","Mass","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange"
"301","Geopelia_cuneata",12.8,6.3,2.2,2.4,13.8,89.2,31.8,35.6,100.4,31.6,"-23,72","22,7770861","28,08894585","493,9709341","94,66765379"
"302","Geospiza_magnirostris",24,18,12.7,18,25.4,83.6,13.2,15.7,48.2,34.5,"0,3","23,75624","11,35894","637,1511","60,37263"
"303","Geotrygon_violacea",19.6,8,2.5,4.2,26.4,143.4,47.8,33.3,86.7,95.2,"-10,42","22,94095171","15,36308805","1761,152459","215,4089743"
"304","Gerygone_igata",12.7,7.7,2.7,2.6,20.4,54.3,9.6,17.7,48.3,6.4,"-41,07","11,41400237","18,93130847","1655,188627","75,73751864"
"305","Glaucidium_cuculoides",20.7,13.4,8,13.4,23.4,147.8,34.5,23.3,81,198.2,"25,42","17,69732331","25,78822652","1419,99769","276,1945726"
"306","Glaucis_hirsutus",33.1,28.6,3.2,3.5,4.1,58.8,34.8,59.8,39.1,6.8,"-3,93","25,1300149","13,50038863","2105,844931","252,7286361"
"307","Gnorimopsar_chopi",25.1,16.5,6.4,9.1,32.8,124.2,25.6,21.1,87.9,65.9,"-17,84","22,88933415","18,22454512","1300,761079","183,7784529"
"308","Goura_cristata",43.3,27.8,8.5,9.5,101.2,355.5,62.5,17.6,260,2000,"-2,32","25,68412439","8,284824634","2736,008537","152,3091976"
"309","Goura_scheepmakeri",48.4,28.6,8.3,9.2,91.6,356.8,64.8,18.1,265.3,2235,"-7,13","24,26016667","11,09091302","2933,979048","195,3458889"
"310","Goura_victoria",45.9,28.7,8.1,9,90.2,350.5,66.2,18.9,258.2,2384,"-4,52","24,35495172","9,995099483","2823,12931","163,9603379"
"311","Gracula_religiosa",32.8,20.3,9.4,12,36.5,163.9,40.8,25,77.7,192,"9,84","25,17541088","15,18867125","2195,335967","313,395557"
"312","Grallaria_varia",28.5,17.6,8.3,10.4,50.8,119.2,9.8,8.4,48.9,119,"-8,91","24,37465492","14,31024211","2034,947098","249,6823064"
"313","Grantiella_picta",16.9,8.9,3.4,3.9,17.4,87,29.5,34.6,51.9,21.5,"-29,05","19,16998599","28,45813057","525,6772675","57,99035314"
"314","Grus_americana",148.8,77.1,13.1,22,288.8,605.8,258.8,42.7,208.8,5826,"46,2","6,033647368","40,65575263","596,1915263","67,85584737"
"315","Grus_grus",108.1,58.1,10.7,16.8,234.4,540.6,225.5,43,193.4,5500,"56,26","-0,895968065","46,98770646","454,8280988","53,84654743"
"316","Grus_japonensis",161,87.6,11.6,20.8,283.5,616,253.7,41.1,244.5,8786,"47,22","1,229291431","50,79970915","646,2037465","135,3345057"
"317","Grus_leucogeranus",194.5,103.3,11.8,23.6,274.2,579.2,256,44.2,198.5,5913.4,"67,96","-13,71051259","58,64843241","252,8420093","39,15881583"
"318","Grus_monacha",105.3,56.3,9.9,15.8,211.2,494.8,215.5,43.5,166,3729.9,"53,75","-4,614963583","56,95143772","492,1822854","98,0743832"
"319","Grus_nigricollis",124.4,67.3,11.7,19.2,239.8,579.2,235.2,40.6,217,6000,"33,6","-1,38923785","35,75037095","362,1825124","82,79550671"
"320","Gymnomystax_mexicanus",32.4,20.6,6.7,9.8,33.2,125.2,25.8,20.7,105,98,"0,9","25,8486802","11,87722047","2227,788909","254,5502248"
"321","Gymnorhina_tibicen",54.7,35.8,11.9,15.8,56.2,256.6,108.3,40.7,137.2,284.9,"-26,04","21,23149853","27,04484435","516,5689034","84,58659084"
"322","Haematopus_ater",76.3,58.1,8.8,13.7,52.2,261.4,105.2,40.8,101.4,724,"-30,78","13,08438339","18,17223802","372,5298473","50,78798559"
"323","Haematopus_ostralegus",76.1,59.1,7.5,11.8,49.9,250.3,129.5,51.2,106,526,"51,83","5,056907124","38,47401009","552,5397227","58,05419909"
"324","Haematortyx_sanguiniceps",21.9,10.8,6.2,6.7,52.8,155.4,30.8,20.2,65.8,300,"2,79","24,86661026","8,568254615","3292,169744","178,550359"
"325","Halcyon_coromanda",60.4,50.4,15.7,15.6,17.1,113.7,25.1,22.4,66.3,77.5,"15,86","21,93317788","19,00204506","2110,033443","284,7224343"
"326","Halcyon_senegalensis",43.8,34.4,11.6,12.1,12.8,99.4,20.9,21,70.8,73.4,"-0,01","24,43320279","19,43686931","1117,815203","211,1285127"
"327","Halcyon_smyrnensis",60.8,48.8,14,14.7,15.1,116.9,25.2,21.9,79.2,91.4,"20,08","23,19960404","22,74063577","1506,063664","280,7044599"
"328","Haliaeetus_albicilla",74.1,46.1,22.9,33.9,95,599.5,227.2,38,294.2,4729.3,"56,68","-1,74226709","46,20120786","500,5294146","62,37724491"
"329","Heliodoxa_aurescens",25.3,18.8,2.6,2.7,4.2,61,39.9,65.6,34.6,6.4,"-4,98","25,3409604","13,24910246","2419,442678","240,2979865"
"330","Heliornis_fulica",32.4,16.3,4.4,6.9,21.6,141.5,51.3,36.2,81.8,132,"-3,6","24,90444078","14,12127787","2125,736514","256,9043428"
