"","Species","Orders"
"4105","Himatione sanguinea","Passeriformes"
"4117","Hirundo aethiopica","Passeriformes"
"4129","Hirundo albigularis","Passeriformes"
"4141","Hirundo angolensis","Passeriformes"
"4153","Hirundo atrocaerulea","Passeriformes"
"4165","Hirundo dimidiata","Passeriformes"
"4177","Hirundo neoxena","Passeriformes"
"4189","Hirundo nigrita","Passeriformes"
"4201","Hirundo smithii","Passeriformes"
"4213","Hirundo tahitica","Passeriformes"
"4225","Hydrophasianus chirurgus","Charadriiformes"
"4237","Hylia prasina","Passeriformes"
"4249","Hyliota flavigaster","Passeriformes"
"4261","Hylocharis cyanus","Apodiformes"
"4273","Hypocryptadius cinnamomeus","Passeriformes"
"4285","Ifrita kowaldi","Passeriformes"
"4297","Indicator maculatus","Piciformes"
"4309","Indicator xanthonotus","Piciformes"
"4321","Irena cyanogastra","Passeriformes"
"4333","Ithaginis cruentus","Galliformes"
"4345","Ixobrychus cinnamomeus","Pelecaniformes"
"4357","Ixobrychus eurhythmus","Pelecaniformes"
"4369","Ixobrychus flavicollis","Pelecaniformes"
"4381","Ixobrychus sinensis","Pelecaniformes"
"4393","Jacana jacana","Charadriiformes"
"4405","Jacana spinosa","Charadriiformes"
"4417","Jynx ruficollis","Piciformes"
"4429","Jynx torquilla","Piciformes"
"4441","Lagopus lagopus","Galliformes"
"4453","Lagopus muta","Galliformes"
"4465","Lanius cristatus","Passeriformes"
"4477","Lanius ludovicianus","Passeriformes"
"4489","Lanius schach","Passeriformes"
"4501","Lanius tephronotus","Passeriformes"
"4513","Lanius tigrinus","Passeriformes"
"4525","Larus crassirostris","Charadriiformes"
"4537","Larus dominicanus","Charadriiformes"
"4549","Leiothrix argentauris","Passeriformes"
"4561","Leiothrix lutea","Passeriformes"
"4573","Lepidocolaptes angustirostris","Passeriformes"
"4585","Lepidothrix coronata","Passeriformes"
"4597","Leptotila verreauxi","Columbiformes"
"4609","Leucopsar rothschildi","Passeriformes"
"4621","Leucosticte arctoa","Passeriformes"
"4633","Leucosticte brandti","Passeriformes"
"4645","Limosa haemastica","Charadriiformes"
"4657","Limosa lapponica","Charadriiformes"
"4669","Locustella pryeri","Passeriformes"
"4681","Lonchura caniceps","Passeriformes"
"4693","Lonchura castaneothorax","Passeriformes"
"4705","Lonchura flaviprymna","Passeriformes"
"4717","Lonchura forbesi","Passeriformes"
"4729","Lonchura grandis","Passeriformes"
"4741","Lonchura hunsteini","Passeriformes"
"4753","Lonchura leucosticta","Passeriformes"
"4765","Lonchura melaena","Passeriformes"
"4777","Lonchura nevermanni","Passeriformes"
"4789","Lonchura nigerrima","Passeriformes"
"4801","Lonchura punctulata","Passeriformes"
"4813","Lonchura spectabilis","Passeriformes"
"4825","Lonchura striata","Passeriformes"
"4837","Lonchura stygia","Passeriformes"
"4849","Lophophorus impejanus","Galliformes"
"4861","Lophophorus lhuysii","Galliformes"
"4873","Lophophorus sclateri","Galliformes"
"4885","Lophornis magnificus","Apodiformes"
"4897","Lophura ignita","Galliformes"
"4909","Lophura nycthemera","Galliformes"
"4921","Lophura swinhoii","Galliformes"
"4933","Loxia curvirostra","Passeriformes"
"4945","Loxia leucoptera","Passeriformes"
"4957","Loxops caeruleirostris","Passeriformes"
"4969","Loxops coccineus","Passeriformes"
"4981","Machaerirhynchus nigripectus","Passeriformes"
"4993","Macroagelaius imthurni","Passeriformes"
"5005","Malurus elegans","Passeriformes"
"5017","Malurus melanocephalus","Passeriformes"
"5029","Megaceryle lugubris","Coraciiformes"
"5041","Megalaima virens","Piciformes"
"5053","Melamprosops phaeosoma","Passeriformes"
"5065","Melanocharis versteri","Passeriformes"
"5077","Melanocorypha mongolica","Passeriformes"
"5089","Meleagris gallopavo","Galliformes"
"5101","Melophus lathami","Passeriformes"
