Species;Bad1Good2;Wild-1_Aviary-2_Domestic-3;Day-Night;n;Mass;Trait;TraitValue;Method;Mountains;Summer-Winter;Breeding-NonBreeding;Climate;World;Passerine;Order;Elevation;ElevationLatCor;MeanSurfaceTemperature;AbsoluteMinSurfaceTemperature;AbsoluteMaxSurfaceTemperature;AbsoluteSurfaceTemperatureRange;AverageDailyMinimumSurfaceTemperature;AverageDailyMaximumSurfaceTemperature;AverageDailySurfaceTemperatureDifference;SD_DailyMeanSurfaceTemperature;SE_DailyMeanSurfaceTemperature;MeanGaussianTemperature;AbsoluteMinGaussianTemperature;AbsoluteMaxGaussianTemperature;AbsoluteGaussianTemperatureRange;AverageDailyMinimumGaussianTemperature;AverageDailyMaximumGaussianTemperature;AverageDailyGaussianTemperatureDifference;SD_DailyMeanGaussianTemperature;SE_DailyMeanGaussianTemperature
Eulacestoma nigropectus;2;NA;N;;19,9;BMR;61,75;flow;;;;Tropical;Old;P;Passeriformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eulampis jugularis;1;2;NA;9;8,4;BMR;25,2;flow;NA;NA;NA;Tropical;New;N;Apodiformes;20;15,81918108;23;23;23;0;23;23;0;NA;NA;23;23;23;0;23;23;0;NA;NA
Eulampis jugularis;1;2;N;1;9,5;RMR;58,66533865;flow;;;;;New;N;;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;NA;NA;NA
Euphonia laniirostris;2;1;N;2;13,5;BMR;52,71;flow;;Summer;;Tropical;New;P;Passeriformes;37;9,601912572;25,86921464;23,67713138;28,59682462;4,919693235;25,38733006;26,43547584;1,048145781;0,531055638;0,045705992;25,67656049;23,78640422;28,38896015;4,602555933;24,98260248;26,56470202;1,582099542;0,423261754;0,036428572
Euphonia xanthogaster;2;1;N;13;12,9;BMR;39,4;flow;N;NA;N;Tropical;New;P;Passeriformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Eurostopodus argus;2;2;N;2;88;BMR;73;flow;N;NA;N;Sub;Old;N;Caprimulgiformes;304;-24,90420975;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eurostopodus mystacalis;2;2;N;1;162;BMR;86;flow;N;;;Tropical;Old;N;Caprimulgiformes;18;-4,989537426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Eutoxeres condamini;2;1;N;6;10;BMR;39,4;flow;N;NA;N;Tropical;New;N;Apodiformes;427;-7,05;16,36000568;8,88461333;22,83929391;13,95468058;14,71226554;18,55727791;3,845012366;1,015403607;0,046346622;15,55087837;6,007049766;22,64380206;16,6367523;13,27533128;18,68043551;5,405104225;1,301585237;0,059408966
Excalfactoria chinensis;NA;NA;NA;NA;42,7;BMR;52,09;flow;;NA;;;New;N;Galliformes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excalfactoria chinensis;2;NA;N;7;42,4;BMR;75,22;flow;N;NA;N;Sub;New;;;323;38,21427157;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
