"","species_name","Mutation_AG_midori","Mutation_CT_midori"
"330","Lalage tricolor","0.125954","0.727987"
"331","Lampornis amethystinus","0.217649","0.47021"
"332","Laniarius atrococcineus","0.186291","0.462605"
"333","Laniarius ferrugineus","0.1878045","0.258855"
"334","Laniarius poensis","0.108077","0.200675"
"335","Lanius collaris","0.188691","0.30794"
"336","Lanius collurio","0.143083","0.397962"
"337","Lanius cristatus","0.219923","0.219967"
"338","Larus argentatus","0.402514","0.209837"
"339","Larus cachinnans","0.495517","0"
"340","Larus canus","0.268918","0.25112"
"341","Larus dominicanus","0.199054","0.2160435"
"342","Larus fuscus","0.708357","0"
"343","Larus hyperboreus","0.241922","0.367902"
"344","Lepidocolaptes affinis","0.108841","0.2541"
"345","Lepidocolaptes angustirostris","0.216607","0.380037"
"346","Lepidothrix coronata","0.194794","0.340776"
"347","Lepidothrix iris","0.221349666666667","0.485541333333333"
"348","Lepidothrix nattereri","0.198969666666667","0.532889333333333"
"349","Lepidothrix vilasboasi","0.237323","0.490506"
"350","Leptopogon superciliaris","0.0964347","0.376095"
"351","Leptopogon taczanowskii","0.0819564","0"
"352","Leucosticte arctoa","0.20619","0.244534"
"353","Leucosticte brandti","0.200791","0.404013"
"354","Leucosticte tephrocotis","0.171546","0.455331"
"355","Lichenostomus cratitius","0.199333","0.341114"
"356","Lichenostomus melanops","0.135367","0.447008"
"357","Lichmera indistincta","0.327911","0.19325"
"358","Liocichla steerii","0.2976","0.282668"
"359","Locustella certhiola","0.388007","0.157978"
"360","Locustella luscinioides","0.141536","0.536294"
"361","Locustella ochotensis","0.202283","0.22414"
"362","Locustella pleskei","0.261859","0.401528"
"363","Lonchura castaneothorax","0.223157727272727","0.323078363636364"
"364","Lonchura flaviprymna","0.304059","0.230722"
"365","Lophura nycthemera","0.0898763","0.592957"
"366","Loxia curvirostra","0.236954","0.163559"
"367","Loxigilla violacea","0.245805","0.411285"
"368","Luscinia brunnea","0.18793","0.426315"
"369","Luscinia svecica","0.185675","0"
"370","Macronous striaticeps","0.234137","0.34801"
"371","Malacopteron cinereum","0.182862","0.463212"
"372","Malacopteron magnirostre","0.184225","0.253187"
"373","Malacoptila fusca","0.395586","0.106897"
"374","Malacoptila rufa","0.2100845","0.372842"
"375","Malurus amabilis","0.480146","0.265178"
"376","Malurus cyaneus","0.205286","0.168301"
"377","Malurus lamberti","0.207707","0.482352"
"378","Malurus leucopterus","0.4495215","0"
"379","Malurus melanocephalus","0.170115","0.184371"
"380","Malurus pulcherrimus","0.220048","0.436075"
"381","Malurus splendens","0.19869","0.292989"
"382","Manacus manacus","0.209962","0.330411"
"383","Manorina melanocephala","0.141622","0.438175"
"384","Margarops fuscatus","0.209212","0.251641"
"385","Megalaima haemacephala","0.162841","0.589457"
"386","Megascops watsonii","0.2239155","0.359946"
"387","Melanerpes aurifrons","0.2221715","0.2536325"
"388","Melanerpes carolinus","0.256014","0.46148"
"389","Melanerpes chrysogenys","0","0.644717"
"390","Melanerpes uropygialis","0.264136","0.259325"
"391","Meleagris gallopavo","0.0395042","0.754093"
"392","Meliphaga gracilis","0.225207","0.216189"
"393","Meliphaga notata","0.131607","0.375838"
"394","Melithreptus albogularis","0.173276","0.337545"
"395","Melithreptus brevirostris","0.220392","0.37169"
"396","Melithreptus lunatus","0.183028","0.175437"
"397","Melospiza lincolnii","0.190959511111111","0.351155777777778"
"398","Melospiza melodia","0.634284","0.17321"
"399","Melozone leucotis","0.174954","0.339561"
"400","Merops apiaster","0.1448541","0.406896"
"401","Metallura tyrianthina","0.202427","0.433898"
"402","Microbates cinereiventris","0.179588","0.332822"
"403","Microbates collaris","0.145039","0.368096"
"404","Microcerculus marginatus","0.311302","0.224486"
"405","Microligea palustris","0.143995","0.293176"
"406","Milvus migrans","0.24657","0.282459"
"407","Mimus parvulus","0.401974333333333","0.277155333333333"
"408","Mimus saturninus","0.169522","0.246774"
"409","Mionectes oleagineus","0.227054","0.363331"
"410","Momotus mexicanus","0.255589","0.497343"
"411","Momotus momota","0.185844","0.264149"
"412","Monarcha castaneiventris","0.335793","0.374584"
"413","Monarcha cinerascens","0.255765","0.255845"
"414","Monticola solitarius","0.222416","0.258926"
"415","Montifringilla nivalis","0.236006","0.277979"
"416","Motacilla alba","0.20795","0.303511"
"417","Motacilla cinerea","0.130648","0.460294"
"418","Motacilla citreola","0.203733","0.252884"
