"","species_name","GhAhSkew_seq_begining","GhAhSkew_start_codon"
"372","Morphnus guianensis","0.299363312377368","0.265693164156136"
"373","Necrosyrtes monachus","-0.353755684822845","0.0386077171034198"
"374","Neophron percnopterus","-0.0584902820777434","0.310315814737008"
"375","Nisaetus alboniger","-0.193783068783069","0.721915644741732"
"376","Nisaetus bartelsi","-0.0714285714285714","0.652173913043478"
"377","Nisaetus cirrhatus","-0.140829158070537","0.107258786613625"
"378","Nisaetus floris","-0.481481481481481","0.555555555555556"
"379","Nisaetus kelaarti","-0.555555555555556","-0.30952380952381"
"380","Nisaetus lanceolatus","-0.221899224806202","0.0547195622435021"
"381","Nisaetus limnaeetus","-0.284089823220258","-0.189569160997732"
"382","Nisaetus nanus","0.13343717549325","-0.00446428571428571"
"383","Nisaetus nipalensis","0.0918055103965808","-0.266645676533457"
"384","Nisaetus philippensis","-0.45034965034965","0.631465517241379"
"385","Nisaetus pinskeri","-0.6","-0.75"
"386","Parabuteo leucorrhous","-0.130277465316835","0.131923760051717"
"387","Parabuteo unicinctus","0.539173789173789","0.277825971833801"
"388","Pernis apivorus","-0.133561243571762","0.0621533754063875"
"389","Pernis celebensis","-0.202030791788856","-0.228944099378882"
"390","Pernis ptilorhynchus","-0.1014408936691","-0.0795909494304555"
"391","Pernis steerei","-0.0456989247311828","-0.0611111111111111"
"392","Pithecophaga jefferyi","0.101980198019802","-0.176999101527403"
"393","Polemaetus bellicosus","0.214770564129553","0.217509239070986"
"394","Polyboroides typus","0.642857142857143","0.210526315789474"
"395","Pseudastur albicollis","-0.0318490664130779","0.210281220776158"
"396","Pseudastur occidentalis","0.278731482208667","-0.125706264211534"
"397","Pseudastur polionotus","0.195897994143608","0.193450472403916"
"398","Rostrhamus sociabilis","0.146900269541779","0.349354972950479"
"399","Rupornis magnirostris","0.197478788952538","-0.158063537425619"
"400","Sarcogyps calvus","0.465604078705107","0.201522234572325"
"401","Spilornis cheela","0.35297418630752","0.72207946460182"
"402","Spilornis elgini","0.206611570247934","0.551020408163265"
"403","Spilornis holospilus","0.407407407407407","0.26304347826087"
"404","Spilornis rufipectus","0.714285714285714","-0.338983050847458"
"405","Spizaetus isidori","0.74066229238643","-0.361374071764639"
"406","Spizaetus melanoleucus","-0.293407217959648","0.189039932030586"
"407","Spizaetus ornatus","0.102774530679128","0.0561689299707102"
"408","Spizaetus tyrannus","0.251436500087175","0.0539850357839948"
"409","Stephanoaetus coronatus","0.124115811373093","0.722308591711035"
"410","Terathopius ecaudatus","0.62962962962963","0.150943396226415"
"411","Torgos tracheliotos","0.123493196728603","0.11853796011445"
"412","Trigonoceps occipitalis","0.17369070710633","0.27953216374269"
"413","Urotriorchis macrourus","-0.366666666666667","-0.375"
"414","Cathartes aura","0.287522910081987","-0.189508410404549"
"415","Cathartes burrovianus","0.285617650806745","-0.0635124641263835"
"416","Cathartes melambrotus","0.225735598839619","-0.173466952994512"
"417","Coragyps atratus","0.325663106905681","0.497545554708026"
"418","Gymnogyps californianus","0.353586312787892","-0.364962865880297"
"419","Sarcoramphus papa","0.370043222809676","0.03541887275091"
"420","Vultur gryphus","-0.236874741628772","0.535982657573403"
"421","Pandion haliaetus","0.0966404088309601","0.0879267378742257"
"422","Sagittarius serpentarius","0.174581718217894","0.253890694003807"
"423","Aceros cassidix","0.221137019073515","0.646147243371302"
"424","Aceros corrugatus","-0.113823331157899","0.52269393000526"
"425","Aceros leucocephalus","0.78045515394913","0.52969696969697"
"426","Aceros nipalensis","0.816328907523876","0.282441278398152"
"427","Aceros waldeni","0.142591807909605","0.662257495590829"
"428","Anorrhinus austeni","0.292220113851992","0.168284789644013"
"429","Anorrhinus galeritus","0.250684181718664","0.175"
"430","Anorrhinus tickelli","0.283321454027085","0.205860805860806"
"431","Anthracoceros albirostris","0.0902000219300985","0.00914732300298511"
"432","Anthracoceros convexus","0.110275427989772","0.143455922414732"
"433","Anthracoceros coronatus","0.231194504942201","-0.245190947666195"
"434","Anthracoceros malayanus","0.223149199715233","0.200986856280974"
"435","Anthracoceros marchei","-0.289719626168224","0.746835443037975"
"436","Anthracoceros montani","-0.302752293577982","-0.287128712871287"
"437","Berenicornis comatus","0.343435298479792","-0.0210715826950049"
"438","Buceros bicornis","0.364132340838337","-0.177323481735547"
"439","Buceros rhinoceros","0.521723411598585","0.371030566530865"
"440","Bycanistes albotibialis","0.183673469387755","0.65"
"441","Bycanistes brevis","0.470769970745319","-0.0289801416475404"
"442","Bycanistes bucinator","0.183808715976817","0.133968922045739"
"443","Bycanistes fistulator","-0.319587628865979","-0.296703296703297"
"444","Bycanistes subcylindricus","0.325842696629214","0.325581395348837"
"445","Ceratogymna atrata","0.482352941176471","0.181818181818182"
"446","Lophoceros camurus","0.294117647058824","-0.272727272727273"
"447","Ocyceros birostris","0.217391304347826","0.232558139534884"
"448","Ocyceros gingalensis","0.473286052009456","0.465909090909091"
"449","Penelopides affinis","0.255434782608696","0.228678537956889"
"450","Penelopides exarhatus","0.252525252525253","0.274725274725275"
"451","Penelopides manillae","0.830959752321981","0.868754482428879"
"452","Penelopides panini","0.265289777265293","0.405316396142084"
"453","Penelopides samarensis","-0.3750346740638","-0.0508771929824561"
"454","Rhinoplax vigil","-0.295101062007537","0.228999813745576"
"455","Rhyticeros everetti","-0.307692307692308","0.769230769230769"
"456","Rhyticeros narcondami","-0.295803209310527","-0.00504009163802979"
"457","Rhyticeros plicatus","0.235636337868481","-0.151872797074349"
"458","Rhyticeros subruficollis","0.296239837398374","0.00989434848230758"
"459","Rhyticeros undulatus","0.340893692486416","0.399973482363837"
"460","Tockus alboterminatus","-0.327433628318584","0.51063829787234"
"461","Tockus erythrorhynchus","0.660282619594106","0.133976471823996"
"462","Tockus fasciatus","0.207875457875458","0.571762505843852"
"463","Tockus flavirostris","0.6","0.614457831325301"
"464","Tockus jacksoni","-0.0316091954022989","0.223333333333333"
"465","Tockus leucomelas","-0.125206599972955","0.0186423505572442"
"466","Tockus monteiri","-0.323294723294723","0.202930005425936"
"467","Tockus nasutus","0.492478525036665","0.491544556604798"
"468","Tockus pallidirostris","-0.296296296296296","0.268817204301075"
"469","Tockus ruahae","-0.0476190476190476","0.500660851176315"
"470","Tockus rufirostris","-0.173541963015647","0.282252506265664"
"471","Tropicranus albocristatus","0.286172487526728","0.183800623052959"
"472","Bucorvus abyssinicus","-0.222324684120154","0.443079443079443"
