"","species_name","order"
"136","Chordeiles_pusillus","Caprimulgiformes"
"137","Chrysolophus_pictus","Galliformes"
"138","Cinclodes_albiventris","Passeriformes"
"139","Cinclosoma_castanotum","Passeriformes"
"140","Cinclosoma_punctatum","Passeriformes"
"141","Cinclus_cinclus","Passeriformes"
"142","Circus_pygargus","Accipitriformes"
"143","Cistothorus_platensis","Passeriformes"
"144","Clangula_hyemalis","Anseriformes"
"145","Climacteris_picumnus","Passeriformes"
"146","Climacteris_rufus","Passeriformes"
"147","Cnemotriccus_fuscatus","Passeriformes"
"148","Coccothraustes_coccothraustes","Passeriformes"
"149","Coccyzus_americanus","Cuculiformes"
"150","Coeligena_coeligena","Apodiformes"
"151","Coeligena_helianthea","Apodiformes"
"152","Coeligena_torquata","Apodiformes"
"153","Coereba_flaveola","Passeriformes"
"154","Colaptes_campestris","Piciformes"
"155","Colibri_thalassinus","Apodiformes"
"156","Collocalia_esculenta","Apodiformes"
"157","Colluricincla_harmonica","Passeriformes"
"158","Colluricincla_megarhyncha","Passeriformes"
"159","Columba_livia","Columbiformes"
"160","Columbina_passerina","Columbiformes"
"161","Conirostrum_cinereum","Passeriformes"
"162","Copsychus_luzoniensis","Passeriformes"
"163","Copsychus_malabaricus","Passeriformes"
"164","Copsychus_saularis","Passeriformes"
"165","Cormobates_leucophaea","Passeriformes"
"166","Corvus_brachyrhynchos","Passeriformes"
"167","Corvus_corax","Passeriformes"
"168","Corvus_corone","Passeriformes"
"169","Corvus_macrorhynchos","Passeriformes"
"170","Corvus_splendens","Passeriformes"
"171","Coryphospingus_cucullatus","Passeriformes"
"172","Cossypha_caffra","Passeriformes"
"173","Cracticus_nigrogularis","Passeriformes"
"174","Cracticus_torquatus","Passeriformes"
"175","Crax_rubra","Galliformes"
"176","Criniger_calurus","Passeriformes"
"177","Cyanerpes_cyaneus","Passeriformes"
"178","Cyanocitta_stelleri","Passeriformes"
"179","Cyanoliseus_patagonus","Psittaciformes"
"180","Cyanopica_cyanus","Passeriformes"
"181","Cyclarhis_gujanensis","Passeriformes"
"182","Cymbilaimus_lineatus","Passeriformes"
"183","Cynanthus_latirostris","Apodiformes"
"184","Cyornis_hainanus","Passeriformes"
"185","Cyornis_rufigastra","Passeriformes"
"186","Dacelo_leachii","Coraciiformes"
"187","Daphoenositta_chrysoptera","Passeriformes"
"188","Dendrexetastes_rufigula","Passeriformes"
"189","Dendrocincla_fuliginosa","Passeriformes"
"190","Dendrocolaptes_certhia","Passeriformes"
"191","Dendrocolaptes_picumnus","Passeriformes"
"192","Dendrocolaptes_platyrostris","Passeriformes"
"193","Dendrocolaptes_sanctithomae","Passeriformes"
"194","Dendrocopos_major","Piciformes"
"195","Dendropicos_fuscescens","Piciformes"
"196","Dicaeum_hypoleucum","Passeriformes"
"197","Dicaeum_trigonostigma","Passeriformes"
"198","Dicrurus_adsimilis","Passeriformes"
"199","Dicrurus_forficatus","Passeriformes"
"200","Dicrurus_hottentottus","Passeriformes"
"201","Dicrurus_leucophaeus","Passeriformes"
"202","Dicrurus_ludwigii","Passeriformes"
"203","Dicrurus_modestus","Passeriformes"
"204","Diglossa_caerulescens","Passeriformes"
"205","Diglossa_cyanea","Passeriformes"
"206","Drymodes_brunneopygia","Passeriformes"
"207","Dryolimnas_cuvieri","Gruiformes"
"208","Elaenia_chiriquensis","Passeriformes"
"209","Elaenia_flavogaster","Passeriformes"
"210","Elaenia_parvirostris","Passeriformes"
"211","Elaenia_ruficeps","Passeriformes"
"212","Emberiza_citrinella","Passeriformes"
"213","Emberiza_godlewskii","Passeriformes"
"214","Emberiza_leucocephalos","Passeriformes"
"215","Emberiza_schoeniclus","Passeriformes"
"216","Emberiza_striolata","Passeriformes"
