"","Species3","GhAhSkew","ThChSkew","ability_to_fly","ability_to_dive","Mutation_AG_midori","Mutation_CT_midori","GhAhSkew_seq_beg","GhAhSkew_start_codon","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"7005","Mareca falcata",NA,NA,NA,NA,NA,NA,0.410987781699701,0.660891089108911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7006","Mareca penelope",NA,NA,NA,NA,NA,NA,0.278964204112719,0.670108669403526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7007","Mareca sibilatrix",NA,NA,NA,NA,NA,NA,0.146562616127834,0.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7008","Mareca strepera",NA,NA,NA,NA,NA,NA,0.314888637836017,0.348938245432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7009","Melanitta americana",NA,NA,NA,NA,NA,NA,0.869983277591973,-0.0996125484314461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7010","Melanitta deglandi",NA,NA,NA,NA,NA,NA,0.740740740740741,-0.175675675675676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7011","Melanitta fusca",NA,NA,NA,NA,NA,NA,0.442084762721555,0.207988621805311,"Anatidae","Anseriformes",14,6,8,0,12,50.9,28.9,26.7,14.8,42.5,264.6,129.6,133.4,49.3,73.6,1800.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",38.01,72.61,61.23,37.27,16433860.14,"Extant"
"7012","Melanitta nigra",NA,NA,NA,NA,NA,NA,-0.257575757575758,0.0630630630630631,"Anatidae","Anseriformes",13,6,7,0,7,47.2,24.6,21.6,12.4,39.7,220.8,102.1,117.8,46.5,77.7,1050,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",47.84,75.6,65.12,52.22,8189700.24,"Extant"
"7013","Melanitta perspicillata",NA,NA,NA,NA,NA,NA,0.0909417296395938,-0.0867785272003538,"Anatidae","Anseriformes",6,3,3,0,4,58.8,25.2,21.6,15.9,38,226.3,115,109.5,51.2,72.8,1096.3,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",51.39,71.39,61.33,-124.67,4808381.84,"Extant"
"7014","Mergellus albellus",NA,NA,NA,NA,NA,NA,0.0218487394957983,-0.2,"Anatidae","Anseriformes",6,2,4,0,4,32,18,8.3,9.5,30.2,187.3,98.8,85.5,53.8,70.3,608.5,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",49.64,71,60.6,90.3,11990223.32,"Extant"
"7015","Mergus octosetaceus",NA,NA,NA,NA,NA,NA,0.0372058497058497,0.188311510984322,"Anatidae","Anseriformes",4,2,1,1,4,56.1,36.2,7.9,10.4,38.6,196.2,79.2,117.1,40.4,81,983,"Dunning",NA,"NO",NA,NA,"Riverine",3,1,"Carnivore","Aquatic predator","Aquatic",-26.5,-9.93,-12.9,-46.05,51321.75,"Extant"
"7016","Mergus serrator",NA,NA,NA,NA,NA,NA,0.0814256010080116,-0.154744970534444,"Anatidae","Anseriformes",9,4,5,0,4,65,42.8,8.2,10.6,45.5,233.6,114.8,118,49.3,76.2,1015.2,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Carnivore","Aquatic predator","Aquatic",42.01,75.22,60.86,26.86,23632905.44,"Extant"
"7017","Nomonyx dominicus",NA,NA,NA,NA,NA,NA,0.435474006116208,0.233177570093458,"Anatidae","Anseriformes",7,3,1,3,4,39.6,22.2,16.2,11.2,24.1,138.1,55.4,79.8,41,85.8,365,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",-36.06,29.1,-10.71,-57.31,8398764.69,"Extant"
"7018","Oxyura australis",NA,NA,NA,NA,NA,NA,0.139563666047847,-0.231399667050839,"Anatidae","Anseriformes",4,2,2,0,4,44.2,25.5,19.4,12.1,33.2,154,66,88,42.9,61.5,798,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Omnivore","Herbivore aquatic","Aquatic",-43.64,-24.72,-33.88,143.57,544505.23,"Extant"
"7019","Oxyura jamaicensis",NA,NA,NA,NA,NA,NA,0.0780541686034017,0.485764471861172,"Anatidae","Anseriformes",9,4,5,0,8,47.7,25.6,21,11.7,33.7,147.4,59.4,90.3,39.8,71.8,608.1,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Omnivore","Aquatic predator","Aquatic",-55.35,65.88,30.21,-100.89,8821560.01,"Extant"
"7020","Oxyura leucocephala",NA,NA,NA,NA,NA,NA,-0.184476493300023,0.280469639884342,"Anatidae","Anseriformes",5,2,3,0,4,48,27.3,19.9,13.3,32,148.4,68.8,77.8,47,88.2,661.1,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Omnivore","Aquatic predator","Aquatic",27.72,61.61,48.43,65.67,4016410.78,"Extant"
"7021","Oxyura maccoa",NA,NA,NA,NA,NA,NA,0.161823361823362,0.4003996003996,"Anatidae","Anseriformes",5,2,3,0,4,45.6,22.4,21.6,11.6,33.3,156.4,66,89.2,42.5,68.2,674,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Omnivore","Omnivore","Aquatic",-34.84,15.46,-23.59,24.7,2242706.43,"Extant"
"7022","Oxyura vittata",NA,NA,NA,NA,NA,NA,-0.106447955049691,0.360322372601498,"Anatidae","Anseriformes",8,4,4,0,4,43.4,24,18.6,11.2,32.1,137.9,54.2,87,38.3,75.8,642.7,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Omnivore","Herbivore aquatic","Aquatic",-53.48,-27.95,-38.61,-66.22,1986790.01,"Extant"
"7023","Polysticta stelleri",NA,NA,NA,NA,NA,NA,0.224519991468082,-0.0861235044345593,"Anatidae","Anseriformes",8,4,4,0,4,39.3,25,14.4,14.5,33.9,203.6,99.8,103.4,49.1,79,806.8,"Dunning",NA,"NO",NA,NA,"Marine",3,3,"Carnivore","Aquatic predator","Aquatic",58.39,77.73,70.64,58.58,2209280.29,"Extant"
"7024","Pteronetta hartlaubii",NA,NA,NA,NA,NA,NA,-0.253731343283582,0.727272727272727,"Anatidae","Anseriformes",5,2,3,0,4,50,33.6,19.8,15.4,41.6,267,87.6,178.4,33,95,790,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Generalist",-9.73,10.98,1.6,14.93,4283729.6,"Extant"
"7025","Rhodonessa caryophyllacea",NA,NA,NA,NA,NA,NA,0.135593220338983,-0.239669421487603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7026","Sibirionetta formosa",NA,NA,NA,NA,NA,NA,0.598763254031899,0.258256629069053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7027","Somateria fischeri",NA,NA,NA,NA,NA,NA,0.898412698412698,0.196031746031746,"Anatidae","Anseriformes",4,2,2,0,4,46,25.8,18.7,14.5,40.2,246,110.7,135.3,45,64.2,1557.2,"Dunning",NA,"NO",NA,NA,"Coastal",3,2,"Carnivore","Aquatic predator","Aquatic",59.8,76.3,68.47,-15.37,1068843.97,"Extant"
"7028","Somateria mollissima",NA,NA,NA,NA,NA,NA,0.299195504480213,0.224341611144761,"Anatidae","Anseriformes",14,7,7,0,4,62.1,28,19.1,16.9,47.5,280.2,126.2,154.5,44.9,88.1,2060.9,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aquatic",41.77,81.4,64.94,-48.4,3321100.72,"Extant"
