"Original_Name","IOС-10.1","BirdTree","NameComments","Original-1_Cited-2","Reference","Bad1Good2","Wild-1_Aviary-2_Domestic-3","Day-Night","n","Sex","Mass","Trait","CommentTrait","TraitValue","Method","Place","Latitude","Longitude","StartDate","EndDate","Mountains","Summer-Winter","Breeding-NonBreeding","Climate","World","Comments","CapturePlace","CaptureLatitude","CaptureLongitude","Passerine","Order","Elevation","ElevationLatCor","MeanSurfaceTemperature","AbsoluteMinSurfaceTemperature","AbsoluteMaxSurfaceTemperature","AbsoluteSurfaceTemperatureRange","AverageDailyMinimumSurfaceTemperature","AverageDailyMaximumSurfaceTemperature","AverageDailySurfaceTemperatureDifference","SD_DailyMeanSurfaceTemperature","SE_DailyMeanSurfaceTemperature","MeanGaussianTemperature","AbsoluteMinGaussianTemperature","AbsoluteMaxGaussianTemperature","AbsoluteGaussianTemperatureRange","AverageDailyMinimumGaussianTemperature","AverageDailyMaximumGaussianTemperature","AverageDailyGaussianTemperatureDifference","SD_DailyMeanGaussianTemperature","SE_DailyMeanGaussianTemperature","","","","","","","","","","","","","","","","","","","",""
"Acridotheres tristis","Acridotheres tristis","Acridotheres tristis","","1","{Bech, 2016 #2143}","2","1","N","4","NA","102.30","BMR","","159.00","flow","Wollongong, NSW","-31.09","141.7","01.10.1998","30.08.1999","N","NA","NA","Sub","Old","","Wollongong, NSW","-31.09","141.7","P","Passeriformes","183","-28.69","20.02134173","1.16325567","41.29384767","40.130592","15.5680908","25.48640237","9.918311567","7.554803262","0.409716733","19.61899372","-3.811825799","46.10407571","49.91590151","13.6256509","27.34295786","13.71730697","8.13874518","0.441385429","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","","1","{Hails, 1983 #462}","2","1","N","4","","21.90","BMR","","45.82","close","Malaysia, Kuala Lumpur","3.11666667","101.7","NA","NA","","Winter","NA","Tropical","Old","","Malaysia, Kuala Lumpur","3.11666667","101.7","P","Passeriformes","41","3.6543715880328","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus arundinaceus","Acrocephalus arundinaceus","Acrocephalus arundinaceus","","1","{Hails, 1983 #462}","2","1","D","4","","21.9","BMR","","54","close","Malaysia, Kuala Lumpur","3.11666667","101.7","NA","NA","","Winter","NA","Tropical","Old","","Malaysia, Kuala Lumpur","3.11666667","101.7","P","Passeriformes","41","3.6543715880328","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","","1","{Hails, 1983 #462}","2","1","N","1","","7.90","BMR","","22.91","close","Malaysia, Kuala Lumpur","3.11666667","101.7","NA","NA","","Winter","NA","Tropical","Old","","Malaysia, Kuala Lumpur","3.11666667","101.7","P","Passeriformes","41","3.6543715880328","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","Acrocephalus bistrigiceps","","1","{Bushuev, 2021 #4649}","2","1","N","27","","7","BMR","","28.20","flow","Cat Tien National Park, Vietnam","11.41666667","107.41666667","24.03.2013, 26.03.2013, 31.03.2015, 02.04.2015, 08.04.2015, 07.03.2016, 11.03.2016, 15.03.2016, 04.04.2016, 18.03.2017, 18.03.2017, 19.02.2018, 19.02.2018, 19.02.2018, 01.03.2018, 04.03.2018, 11.03.2018, 11.03.2018, 12.03.2018, 13.03.2018, 29.03.2018, 01.03.2019, 07.03.2019, 09.03.2019, 27.03.2019, 25.03.2020, 06.04.2020","24.03.2013, 26.03.2013, 31.03.2015, 02.04.2015, 08.04.2015, 07.03.2016, 11.03.2016, 15.03.2016, 04.04.2016, 18.03.2017, 18.03.2017, 19.02.2018, 19.02.2018, 19.02.2018, 01.03.2018, 04.03.2018, 11.03.2018, 11.03.2018, 12.03.2018, 13.03.2018, 29.03.2018, 01.03.2019, 07.03.2019, 09.03.2019, 27.03.2019, 25.03.2020, 06.04.2020","N","Spring","NA","Tropical","Old","","Cat Tien National Park, Vietnam","11.41666669","107.41666669","P","Passeriformes","140","13.252732243771","26.91495412","19.60388885","35.43822126","15.83433241","23.12497702","31.96169179","8.836714765","1.133061148","0.102582536","27.82359723","18.38083916","39.06851504","20.68767588","22.83133542","34.87261319","12.04127777","1.383335111","0.125241276","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus orientalis","Acrocephalus orientalis","Acrocephalus stentoreus","Acrocephalus orientalis была выделена из A. arundinaceus, но данные по A. Arundinaceus уже есть, так что был использован ближайший вид - A. stentoreus.","1","{Bushuev, 2021 #4649}","2","1","N","8","","21","BMR","","46.30","flow","Cat Tien National Park, Vietnam","11.41666667","107.41666667","22.03.2013, 26.03.2013, 11.03.2016, 13.03.2016, 22.02.2018, 11.03.2018, 07.03.2019, 02.03.2020","22.03.2013, 26.03.2013, 11.03.2016, 13.03.2016, 22.02.2018, 11.03.2018, 07.03.2019, 02.03.2020","N","Spring","NA","Tropical","Old","","Cat Tien National Park, Vietnam","11.4166667","107.4166667","P","Passeriformes","140","13.252732243771","26.93757095","19.72466663","34.05222224","14.32755561","22.59198769","31.72614035","9.134152656","0.834702658","0.120478951","27.85330164","18.88271074","38.89066975","20.00795901","22.2391849","34.68683075","12.44764586","1.071686649","0.154684644","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus palustris","Acrocephalus palustris","Acrocephalus palustris","","2","{Kendeigh, 1977 #523}","2","NA","N","NA","NA","10.80","BMR","","36.35","NA","","","","","","","","","Temperate","Old","","","","","P","Passeriformes","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","","2","{Kendeigh, 1977 #523}","2","NA","N","NA","NA","11.50","BMR","","38.84","NA","","","","","","","","","Temperate","Old","","","","","P","Passeriformes","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","","1","{Lindström, 1995 #3655}","2","2","N","3","","10.50","BMR","Пиц после поимки предерживали в клетках несколько дней, но сколько максимум не ясно. Птиц ловили во время осенней миграции. ","42.51","flow","Stensoffa ecological station in 1993, and in Lund in 1994","NA","NA","1993, 1994","1993, 1994","N","Autumn","N","Temperate","Old","","Falsterbo Bird Observatory, Ottenby Ornithological Research Centre, Stensoffa ecological station","55.2","12.38333333","P","Passeriformes","NA","NA","22","20","24","NA","NA","NA","NA","NA","NA","22","20","24","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","","1","{Gavrilov, 2017 #3482}","NA","NA","N","3","","11.5","BMR","","39","close","","","","","","","Summer","","NA","Old","","","","","","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","","","","","","","","","","","","","","","","","","","",""
