,x,Flightless,Diving
745,Turdus ruficollis,0,0
746,Turdus rufiventris,0,0
747,Turnix velox,0,0
748,Tyrannus savana,0,0
749,Upupa epops,0,0
750,Uragus sibiricus,0,0
751,Urocissa caerulea,0,0
752,Urocolius indicus,0,0
753,Urocynchramus pylzowi,0,0
754,Vanellus cinereus,0,waterbird
755,Vanellus vanellus,0,waterbird
756,Vestiaria coccinea,0,0
757,Vidua chalybeata,0,0
758,Vidua macroura,0,0
759,Vireo altiloquus,0,0
760,Vireo olivaceus,0,0
761,Xanthopsar flavus,0,0
762,Xenus cinereus,0,waterbird
763,Xiphorhynchus elegans,0,0
764,Yuhina diademata,0,0
765,Yuhina nigrimenta,0,0
766,Zenaida auriculata,0,0
767,Zenaida macroura,0,0
768,Zonotrichia albicollis,0,0
769,Zosterops abyssinicus,0,0
770,Zosterops erythropleurus,0,0
771,Zosterops lateralis,0,0
772,Zosterops poliogastrus,0,0
