species_name,higher_altitude,far_migration,wintering,diving,flying
Megalurus_punctatus,1000,N,N,N,Y
Melamprosops_phaeosoma,2100,N,N,N,Y
Melanocorypha_mongolica,2000,M,N,N,Y
Meleagris_gallopavo,2100,N,N,N,Y
Meleagris_ocellata,300,N,N,N,Y
Melophus_lathami,2400,M,N,N,Y
Melopsittacus_undulatus,1000,M,N,N,Y
Melospiza_melodia,2500,M,M,N,Y
Menura_novaehollandiae,1000,N,N,N,Y
Mergus_squamatus,1000,Y,N,N,Y
Merops_nubicus,1000,M,N,N,Y
Merops_viridis,800,M,N,N,Y
Micrastur_gilvicollis,,,,,
Milvus_migrans,,,,,
Minla_ignotincta,3750,N,N,N,Y
Mionectes_oleagineus,1800,N,N,N,Y
Moho_braccatus,2000,N,N,N,Y
Molothrus_aeneus,3000,M,N,N,Y
Molothrus_badius,3100,Y,N,N,Y
Momotus_momota,1200,N,N,N,Y
Monticola_gularis,1600,Y,N,N,Y
Montifringilla_adamsi,5200,M,M,N,Y
Montifringilla_nivalis,5300,N,M,N,Y
Montifringilla_ruficollis,5000,N,M,N,Y
Montifringilla_taczanowskii,5100,N,M,N,Y
Morus_serrator,1000,Y,N,Y,Y
Motacilla_alba,5000,Y,N,N,Y
Motacilla_cinerea,4100,Y,N,N,Y
Motacilla_lugens,,,,,
Mullerornis_agilis,1000,N,N,N,N
Myadestes_myadestinus,1300,N,N,N,Y
Myiopsitta_monachus,1000,N,N,N,Y
Nannopterum_brasilianus,,,,,
Napothera_epilepidota,2100,N,N,N,Y
Neophema_chrysogaster,1000,Y,N,N,Y
Nesopsar_nigerrimus,2200,N,N,N,Y
Nestor_notabilis,2000,N,N,N,Y
Netta_rufina,4200,Y,M,Y,Y
Niltava_davidi,1700,M,M,N,Y
Ninox_novaeseelandiae,1000,N,N,N,Y
Ninox_scutulata,1700,N,N,N,Y
Ninox_strenua,1700,N,N,N,Y
Nipponia_nippon,1300,M,N,N,Y
Nisaetus_alboniger,4000,M,M,N,Y
Nisaetus_nipalensis,700,N,N,N,Y
Notiomystis_cincta,300,N,N,N,Y
Nucifraga_columbiana,3800,M,M,N,Y
Numenius_phaeopus,3600,Y,N,N,Y
Numida_meleagris,3000,N,N,N,Y
Nyctibius_grandis,1000,N,N,N,Y
Nyctibius_griseus,2000,N,N,N,Y
Nycticorax_nycticorax,4800,M,N,N,Y
Nycticryphes_semicollaris,2000,N,N,N,Y
Nyctyornis_amictus,1500,N,N,N,Y
Nymphicus_hollandicus,2000,M,N,N,Y
Oedistoma_iliolophum,1750,N,N,N,Y
Oporornis_tolmiei,3000,Y,N,N,Y
Oreomystis_bairdi,2000,N,N,N,Y
Oreopsar_bolivianus,3500,N,N,N,Y
Oreotrochilus_melanogaster,4400,M,N,N,Y
Oriolus_chinensis,1600,M,N,N,Y
Orthopsittaca_manilata,600,M,N,N,Y
Otidiphaps_nobilis,1900,N,N,N,Y
Otis_tarda,1000,M,N,N,Y
Otus_bakkamoena,2400,N,N,N,Y
Otus_scops,2000,M,N,N,Y
Padda_oryzivora,1500,N,N,N,Y
Pandion_haliaetus,,,,,
Paradoxornis_fulvifrons,4570,N,N,N,Y
Paradoxornis_gularis,1850,N,N,N,Y
Paradoxornis_nipalensis,3300,N,N,N,Y
Paradoxornis_webbianus,2000,N,N,N,Y
Paroreomyza_montana,3500,N,N,N,Y
Parus_major,4450,M,M,N,Y
Parus_monticolus,4000,N,N,N,Y
Parus_venustulus,3000,N,N,N,Y
Passer_ammodendri,1000,N,M,N,Y
Passer_domesticus,4600,N,M,N,Y
Passer_montanus,4400,M,M,N,Y
Passerina_amoena,3000,Y,N,N,Y
Patagioenas_fasciata,3000,M,M,N,Y
Pavo_cristatus,2000,N,N,N,Y
Pavo_muticus,2000,N,N,N,Y
Pedionomus_torquatus,1000,N,N,N,Y
Pelagodroma_marina,,,,,
Pelecanus_conspicillatus,,,,,
Pelecanus_occidentalis,,,,,
Penelopides_panini,1500,N,N,N,Y
Perdix_dauurica,3400,N,M,N,Y
Perdix_hodgsoniae,5600,N,M,N,Y
Perdix_perdix,2600,N,M,N,Y
Pericrocotus_ethologus,3700,M,N,N,Y
Periparus_ater,4550,M,Y,N,Y
Petroica_australis,1000,N,N,N,Y
Petroica_boodang,1000,M,N,N,Y
Petroica_goodenovii,1000,M,N,,
Petroica_macrocephala,1000,N,N,N,Y
Petroica_phoenicea,1800,M,N,N,Y
Pezophaps_solitaria,1000,N,N,N,N
Phaethon_lepturus,,,,,
Phaethon_rubricauda,,,,,
Phaethornis_malaris,1650,M,N,N,Y
Phalacrocorax_carbo,1000,M,N,Y,Y
Phalacrocorax_chalconotus,1000,N,N,Y,Y
Phalcoboenus_australis,500,N,N,N,Y
Pharomachrus_auriceps,3100,M,N,N,Y
Phasianus_colchicus,3500,M,M,N,Y
Phasianus_versicolor,1100,N,M,N,Y
Pheucticus_melanocephalus,3000,M,N,N,Y
Philesturnus_carunculatus,1000,N,N,N,Y
Phodilus_badius,1800,N,N,N,Y
Phoebastria_albatrus,,,,,
Phoebastria_immutabilis,,,,,
Phoebastria_nigripes,,,,,
Phoenicopterus_roseus,,,,,
Phoenicopterus_ruber,,,,,
Phoeniculus_purpureus,2000,N,N,N,Y
Phoenicurus_auroreus,3700,Y,N,N,Y
Phylloscopus_inornatus,2450,Y,N,N,Y
Pica_pica,4800,N,Y,N,Y
Picathartes_gymnocephalus,1000,N,N,N,Y
Picoides_pubescens,2750,N,Y,N,Y
