species_name,higher_altitude,far_migration,wintering,diving,flying,lower_altitude,only_forest,can_not_fly,divers,high_alt,far_migrtion,wintering_num,high_alt2,reference2
Corvus_corax,3000,M,M,N,Y,0,M,0,0,0,0,0,0,0
Corvus_coronoides,2000,M,M,N,Y,0,M,0,0,0,0,0,0,0
Corvus_cryptoleucus,2400,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Corvus_frugilegus,2000,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Corvus_hawaiiensis,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Corvus_macrorhynchos,4500,M,M,N,Y,0,M,0,0,Corvus_macrorhynchos,0,0,0,0
Corvus_moriorum,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Corvus_moriorum
Corvus_ruficollis,2000,N,N,N,Y,0,N,0,0,0,0,0,0,0
Corvus_splendens,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Corythornis_leucogaster,1800,N,N,Y,Y,0,Y,0,Corythornis_leucogaster,0,0,0,0,Corythornis_leucogaster
Coturnicops_exquisitus,1000,Y,N,N,Y,0,Y,0,0,0,Coturnicops_exquisitus,0,0,0
Coturnix_chinensis,2300,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Coturnix_japonica,3000,Y,N,N,Y,0,Y,0,0,0,Coturnix_japonica,0,0,0
Crax_daubentoni,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Crax_daubentoni
Crax_rubra,1200,N,N,N,Y,0,Y,0,0,0,0,0,0,Crax_rubra
Crossoptilon_auritum,4400,N,M,N,Y,2000,Y,0,0,Crossoptilon_auritum,0,0,0,0
Crossoptilon_crossoptilon,4300,N,M,N,Y,2500,Y,0,0,Crossoptilon_crossoptilon,0,0,0,0
Crossoptilon_harmani,5000,N,M,N,Y,2400,Y,0,0,Crossoptilon_harmani,0,0,0,0
Crossoptilon_mantchuricum,2600,N,M,N,Y,1100,Y,0,0,0,0,0,0,0
Crotophaga_ani,2500,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Crypturellus_tataupa,1400,N,N,N,N,0,Y,Crypturellus_tataupa,0,0,0,0,0,0
Cuculus_poliocephalus,3600,Y,N,N,Y,0,Y,0,0,0,Cuculus_poliocephalus,0,0,0
Curaeus_curaeus,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Curaeus_curaeus
Cursorius_temminckii,2500,M,N,N,Y,0,N,0,0,0,0,0,0,0
Cyanistes_cyanus,2500,M,Y,N,Y,0,Y,0,0,0,0,Cyanistes_cyanus,0,0
Cyanopica_cyanus,1600,N,Y,N,Y,0,Y,0,0,0,0,Cyanopica_cyanus,0,0
Cyanoptila_cyanomelana,1800,Y,N,N,Y,0,Y,0,0,0,Cyanoptila_cyanomelana,0,0,0
Cygnus_atratus,1000,N,N,M,Y,0,Y,0,0,0,0,0,0,Cygnus_atratus
Cygnus_columbianus,1000,Y,N,M,Y,0,Y,0,0,0,Cygnus_columbianus,0,0,0
Cygnus_cygnus,1850,Y,N,M,Y,0,Y,0,0,0,Cygnus_cygnus,0,0,0
Cygnus_olor,1000,Y,N,M,Y,0,Y,0,0,0,Cygnus_olor,0,0,0
Cypseloides_fumigatus,2100,M,N,N,Y,700,Y,0,0,0,0,0,0,0
Dacelo_novaeguineae,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Dacelo_novaeguineae
Dendrocopos_leucotos,1700,N,Y,N,Y,0,Y,0,0,0,0,Dendrocopos_leucotos,0,0
Dendrocopos_major,2500,N,Y,N,Y,0,Y,0,0,0,0,Dendrocopos_major,0,0
Dendrocygna_javanica,1000,M,N,M,Y,0,Y,0,0,0,0,0,0,0
Dendroica_coronata,1000,Y,N,N,Y,0,Y,0,0,0,Dendroica_coronata,0,0,0
Deroptyus_accipitrinus,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Deroptyus_accipitrinus
Didunculus_strigirostris,1600,N,N,N,Y,300,Y,0,0,0,0,0,0,Didunculus_strigirostris
Dinornis_giganteus,1000,N,N,N,N,0,N,Dinornis_giganteus,0,0,0,0,0,0
Diomedea_chrysostoma,,,,,,,,0,0,0,0,0,0,0
Dives_dives,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Dromaius_novaehollandiae,1000,N,N,N,N,0,N,Dromaius_novaehollandiae,0,0,0,0,0,0
Dryocopus_pileatus,2300,N,M,N,Y,0,Y,0,0,0,0,0,0,0
Dupetor_flavicollis,,,,,,,,0,0,0,0,0,0,0
Eclectus_roratus,2000,N,N,N,Y,0,Y,0,0,0,0,0,0,0
Ectopistes_migratorius,2000,Y,M,N,Y,0,Y,0,0,0,Ectopistes_migratorius,0,0,0
Egretta_eulophotes,1000,Y,N,M,Y,0,Y,0,0,0,Egretta_eulophotes,0,0,0
Egretta_garzetta,2000,M,N,M,Y,0,Y,0,0,0,0,0,0,0
Egretta_sacra,400,N,N,M,Y,0,Y,0,0,0,0,0,0,Egretta_sacra
Emberiza_aureola,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_aureola,0,0,0
Emberiza_chrysophrys,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_chrysophrys,0,0,0
Emberiza_cioides,1000,M,M,N,Y,0,M,0,0,0,0,0,0,0
Emberiza_elegans,1000,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Emberiza_fucata,1000,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Emberiza_jankowskii,1000,M,M,N,Y,0,Y,0,0,0,0,0,0,0
Emberiza_leucocephalos,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_leucocephalos,0,0,0
Emberiza_pusilla,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_pusilla,0,0,0
Emberiza_rustica,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_rustica,0,0,0
Emberiza_rutila,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_rutila,0,0,0
Emberiza_spodocephala,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_spodocephala,0,0,0
Emberiza_sulphurata,1500,M,M,N,Y,500,Y,0,0,0,0,0,0,0
Emberiza_tristrami,1000,Y,N,N,Y,0,Y,0,0,0,Emberiza_tristrami,0,0,0
Emeus_crassus,1000,N,N,N,N,0,N,Emeus_crassus,0,0,0,0,0,0
Eolophus_roseicapillus,1000,M,N,N,Y,0,M,0,0,0,0,0,0,0
Eophona_migratoria,1000,Y,N,N,Y,0,Y,0,0,0,Eophona_migratoria,0,0,0
Eophona_personata,1000,Y,N,N,Y,0,Y,0,0,0,Eophona_personata,0,0,0
Eopsaltria_australis,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Eopsaltria_australis
Eopsaltria_georgiana,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Eopsaltria_georgiana
Eopsaltria_griseogularis,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Eopsaltria_griseogularis
Epthianura_albifrons,1000,N,N,N,Y,0,Y,0,0,0,0,0,0,Epthianura_albifrons
Eremopsaltria_mongolica,4500,N,N,N,Y,500,M,0,0,Eremopsaltria_mongolica,0,0,0,0
Eudocimus_ruber,1000,N,N,M,Y,0,N,0,0,0,0,0,0,0
Eudromia_elegans,2500,M,N,N,N,0,N,Eudromia_elegans,0,0,0,0,0,0
Eudynamys_taitensis,1500,Y,N,,,0,Y,0,0,0,Eudynamys_taitensis,0,0,0
Eudyptes_chrysocome,500,N,M,Y,N,0,N,Eudyptes_chrysocome,Eudyptes_chrysocome,0,0,0,0,0
Eudyptula_minor,500,N,N,Y,N,0,N,Eudyptula_minor,Eudyptula_minor,0,0,0,0,0
Eulabeornis_castaneoventris,1000,N,N,N,Y,0,N,0,0,0,0,0,0,0
Euphagus_cyanocephalus,3000,Y,N,N,Y,0,Y,0,0,0,Euphagus_cyanocephalus,0,0,0
Eupsittula_pertinax,1200,N,N,N,Y,0,N,0,0,0,0,0,0,0
Eurynorhynchus_pygmeus,1000,Y,N,M,Y,0,Y,0,0,0,Eurynorhynchus_pygmeus,0,0,0
Eurystomus_orientalis,1000,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Falco_amurensis,,,,,,,,0,0,0,0,0,0,0
Falco_cherrug,,,,,,,,0,0,0,0,0,0,0
Falco_columbarius,,,,,,,,0,0,0,0,0,0,0
Falco_naumanni,,,,,,,,0,0,0,0,0,0,0
Falco_peregrinus,,,,,,,,0,0,0,0,0,0,0
Falco_rusticolus,,,,,,,,0,0,0,0,0,0,0
Falco_sparverius,,,,,,,,0,0,0,0,0,0,0
Falco_tinnunculus,,,,,,,,0,0,0,0,0,0,0
Ficedula_albicollis,1600,Y,N,N,Y,0,Y,0,0,0,Ficedula_albicollis,0,0,0
Ficedula_zanthopygia,1000,Y,N,N,Y,0,Y,0,0,0,Ficedula_zanthopygia,0,0,0
Florisuga_fusca,1400,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Florisuga_mellivora,1000,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Forpus_modestus,1000,M,N,N,Y,0,Y,0,0,0,0,0,0,0
Forpus_passerinus,1800,N,N,N,Y,0,Y,0,0,0,0,0,0,Forpus_passerinus
Francolinus_pintadeanus,1500,N,N,N,Y,0,Y,0,0,0,0,0,0,Francolinus_pintadeanus
