species_name,higher_altitude,far_migration,wintering,diving,flying,lower_altitude,only_forest
Grus_americana,1000,Y,N,M,Y,0,Y
Grus_antigone,1000,M,N,M,Y,0,Y
Grus_canadensis,1000,Y,N,M,Y,0,Y
Grus_carunculatus,2000,M,N,M,Y,0,M
Grus_grus,1000,Y,N,M,Y,0,Y
Grus_japonensis,1000,Y,N,M,Y,0,Y
Grus_leucogeranus,1000,Y,N,M,Y,0,Y
Grus_monacha,1000,Y,N,M,Y,0,Y
Grus_nigricollis,4900,M,N,M,Y,1300,Y
Grus_paradisea,,,,,,,
Grus_rubicunda,1000,N,N,M,Y,0,Y
Grus_vipio,1000,Y,N,M,Y,0,Y
Grus_virgo,,,,,,,
Gymnomystax_mexicanus,950,N,N,M,Y,0,Y
Gyps_fulvus,,,,,,,
Gyps_himalayensis,6000,N,N,N,Y,1500,N
Haematopus_ater,1000,M,N,M,Y,0,N
Haematopus_ostralegus,1000,Y,N,M,Y,0,N
Haematortyx_sanguiniceps,1700,N,N,N,Y,1000,Y
Haemorhous_cassinii,3000,M,M,N,Y,1000,Y
Haemorhous_mexicanus,2000,M,M,N,Y,0,Y
Halcyon_coromanda,1800,M,N,Y,Y,460,Y
Halcyon_pileata,2000,Y,N,Y,Y,0,Y
Halcyon_smyrnensis,3000,M,N,Y,Y,0,Y
Heliodoxa_aurescens,1400,N,N,N,Y,0,Y
Heliornis_fulica,1000,N,N,M,Y,0,Y
Hemignathus_flavus,2000,N,N,N,Y,500,Y
Hemignathus_parvus,2500,N,N,N,Y,600,Y
Hemignathus_stejnegeri,2500,N,N,N,Y,300,Y
Hemignathus_virens,2500,N,N,N,Y,300,Y
Hemiphaga_novaeseelandiae,1000,N,N,N,Y,0,Y
Henicorhina_leucosticta,1800,N,N,N,Y,0,Y
Hesperiphona_vespertina,3000,N,N,N,Y,0,Y
Heteralocha_acutirostris,2500,N,N,N,Y,0,Y
Hieraaetus_fasciatus,,,,,,,
Himantopus_himantopus,4200,M,N,M,Y,0,Y
Himantopus_mexicanus,,,,,,,
Himatione_sanguinea,2500,N,N,N,Y,300,Y
Hirundo_rustica,3000,Y,N,N,Y,0,Y
Hyliota_flavigaster,1000,N,N,N,Y,0,N
Hylocharis_cyanus,1200,M,N,N,Y,0,Y
Ichthyaetus_relictus,,,,,,,
Icterus_bullockii,3000,Y,N,N,Y,0,Y
Icterus_mesomelas,1700,N,N,N,Y,0,Y
Indicator_maculatus,2100,N,N,N,Y,0,Y
Ithaginis_cruentus,4400,N,N,N,Y,2500,Y
Ixobrychus_cinnamomeus,1800,M,N,M,Y,0,Y
Ixobrychus_eurhythmus,1000,Y,N,M,Y,0,Y
Ixobrychus_sinensis,1500,M,N,M,Y,0,Y
Ixos_mcclellandii,2700,N,N,N,Y,800,Y
Jacana_jacana,1000,N,N,N,Y,0,Y
Jacana_spinosa,1800,N,N,N,Y,0,Y
Junco_hyemalis,2050,M,N,N,Y,0,Y
Jynx_ruficollis,2500,N,N,N,Y,500,Y
Lagopus_lagopus,1100,M,Y,N,Y,0,Y
Lagopus_muta,5000,N,Y,N,Y,2000,Y
Lampropsar_tanagrinus,500,N,N,N,Y,0,Y
Lanius_cristatus,1400,Y,N,N,Y,0,Y
Lanius_isabellinus,2400,Y,N,N,Y,0,Y
Lanius_schach,3000,N,N,N,Y,0,Y
Lanius_sphenocercus,1800,M,N,N,Y,0,Y
Lanius_tephronotus,4500,M,N,N,Y,0,Y
Lanius_tigrinus,1000,Y,N,N,Y,0,Y
Larus_brunnicephalus,,,,,,,
Larus_crassirostris,,,,,,,
Larus_dominicanus,,,,,,,
Larus_vegae,,,,,,,
Leiothrix_argentauris,1800,N,N,N,Y,0,Y
Leiothrix_lutea,3400,N,N,N,Y,75,Y
Lepidocolaptes_angustirostris,3000,N,N,N,Y,0,Y
Lepidothrix_coronata,1400,N,N,N,Y,0,Y
Leptotila_verreauxi,3200,N,N,N,Y,0,Y
Lerwa_lerwa,5500,N,M,N,Y,2500,Y
Leucosticte_arctoa,5500,M,M,N,Y,1300,Y
Leucosticte_brandti,5500,M,M,N,Y,1500,Y
Lewinia_muelleri,500,N,N,N,N,0,Y
Limosa_lapponica,1000,Y,N,M,Y,0,Y
Lonchura_caniceps,2200,N,N,N,Y,1800,Y
Lonchura_castaneothorax,1800,N,N,N,Y,0,Y
Lonchura_flaviprymna,500,M,N,N,Y,0,Y
Lonchura_forbesi,1000,N,N,N,Y,0,Y
Lonchura_grandis,1300,N,N,N,Y,0,Y
Lonchura_hunsteini,1000,N,N,N,Y,0,Y
Lonchura_leucosticta,1000,N,N,N,Y,0,Y
Lonchura_melaena,1200,N,N,N,Y,0,Y
Lonchura_nevermanni,1000,N,N,N,Y,0,Y
Lonchura_nigerrima,,,,,,,
Lonchura_punctulata,3000,N,N,N,Y,0,Y
Lonchura_spectabilis,2500,N,N,N,Y,0,Y
Lonchura_striata,2500,N,N,N,Y,0,Y
Lonchura_stygia,1000,N,N,N,Y,0,Y
Lophophanes_dichrous,4500,N,M,N,Y,2000,Y
Lophophorus_lhuysii,4900,N,M,N,Y,2800,Y
Lophophorus_sclateri,4200,N,M,N,Y,2500,Y
Lophornis_magnificus,1000,N,N,N,Y,0,Y
Lophura_edwardsi,600,N,N,N,Y,0,Y
Lophura_ignita,1300,N,N,N,Y,0,Y
Lophura_nycthemera,2000,M,M,N,Y,300,Y
Lophura_swinhoii,2000,M,M,N,Y,300,Y
Loxia_curvirostra,4500,M,Y,N,Y,0,Y
Loxops_caeruleirostris,1200,N,N,N,Y,900,Y
Loxops_coccineus,2000,N,N,N,Y,1100,Y
Loxops_mana,1900,N,N,N,Y,1000,Y
Luscinia_calliope,1500,Y,N,N,Y,0,Y
Luscinia_cyanura,3000,Y,N,N,Y,0,Y
Lyrurus_tetrix,3000,N,Y,N,Y,0,Y
Machlolophus_spilonotus,2700,N,N,N,Y,800,Y
Macroagelaius_imthurni,2000,N,N,N,Y,700,Y
Malacoptila_fusca,1200,N,N,N,Y,700,Y
Malurus_melanocephalus,1000,N,N,N,Y,0,Y
Megaceryle_lugubris,2800,N,N,Y,Y,0,Y
Megalaima_virens,300,N,N,N,Y,800,Y
Megalurus_pryeri,1000,M,N,N,Y,0,Y
Megalurus_punctatus,1000,N,N,N,Y,0,Y
Melamprosops_phaeosoma,2100,N,N,N,Y,1400,Y
Melanocorypha_mongolica,2000,M,N,N,Y,0,Y
Meleagris_gallopavo,2100,N,N,N,Y,0,Y
Meleagris_ocellata,300,N,N,N,Y,0,Y
Melophus_lathami,2400,M,N,N,Y,0,Y
Melopsittacus_undulatus,1000,M,N,N,Y,0,N
Melospiza_melodia,2500,M,M,N,Y,0,Y
Menura_novaehollandiae,1000,N,N,N,Y,0,Y
Mergus_squamatus,1000,Y,N,N,Y,0,Y
Merops_nubicus,1000,M,N,N,Y,0,Y
Merops_viridis,800,M,N,N,Y,0,Y
Micrastur_gilvicollis,,,,,,,
Milvus_migrans,,,,,,,
Minla_ignotincta,3750,N,N,N,Y,300,Y
Mionectes_oleagineus,1800,N,N,N,Y,0,Y
Moho_braccatus,2000,N,N,N,Y,0,Y
Molothrus_aeneus,3000,M,N,N,Y,0,Y
Molothrus_badius,3100,Y,N,N,Y,0,Y
Momotus_momota,1200,N,N,N,Y,0,Y
Monticola_gularis,1600,Y,N,N,Y,0,Y
Montifringilla_adamsi,5200,M,M,N,Y,3500,Y
Montifringilla_nivalis,5300,N,M,N,Y,2000,Y
Montifringilla_ruficollis,5000,N,M,N,Y,3500,Y
Montifringilla_taczanowskii,5100,N,M,N,Y,3500,Y
Morus_serrator,1000,Y,N,Y,Y,0,N
Motacilla_alba,5000,Y,N,N,Y,0,Y
Motacilla_cinerea,4100,Y,N,N,Y,0,Y
Motacilla_lugens,,,,,,,
Mullerornis_agilis,1000,N,N,N,N,0,N
Myadestes_myadestinus,1300,N,N,N,Y,1000,Y
Myiopsitta_monachus,1000,N,N,N,Y,0,Y
Nannopterum_brasilianus,,,,,,,
Napothera_epilepidota,2100,N,N,N,Y,0,Y
Neophema_chrysogaster,1000,Y,N,N,Y,0,Y
Nesopsar_nigerrimus,2200,N,N,N,Y,0,Y
Nestor_notabilis,2000,N,N,N,Y,600,Y
Netta_rufina,4200,Y,M,Y,Y,0,Y
Niltava_davidi,1700,M,M,N,Y,0,Y
