Kingdom;Phylum;Class;Order;Family;Genus;Species;GenerationLength_d;FrT;Hib;Daily;Mars;Mono;residuals
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus_californianus;5306.69155;0.156988454304812;0;0;0;0;-0.0244420501889808
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;Gazella_cuvieri;2022.515;0.174396641037437;0;0;0;0;-0.0244330140507878
Animalia;Chordata;Mammalia;Diprotodontia;Vombatidae;Vombatus;Vombatus_ursinus;3542.014;0.166932937484172;0;0;1;0;-0.0238466047290036
Animalia;Chordata;Mammalia;Primates;Callitrichidae;Callithrix;Callithrix_jacchus;2156.5235;0.174573680911727;0;0;0;0;-0.0235460141494001
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Gulo;Gulo_gulo;2622.30185;0.172316561317115;0;0;0;0;-0.0233354991537587
Animalia;Chordata;Mammalia;Primates;Loridae;Perodicticus;Perodicticus_potto;3326.9897;0.16912996316638;0;0;0;0;-0.0227887505012546
NA;NA;NA;NA;NA;Symphalangus;Symphalangus_syndactylus;4745;0.161734676903466;0;0;0;0;-0.0226715981426345
Animalia;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus_tigrinus;2190;0.175274098741135;0;0;0;0;-0.0226682420712154
NA;NA;NA;NA;NA;Rhinolophus;Rhinolophus_formosae;2726.53565;0.172526047649281;0;0;0;0;-0.022573795376636
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Oreamnos;Oreamnos_americanus;2864.106333343;0.172257371796289;0;0;0;0;-0.0221136392072252
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;Mirounga_leonina;3467.5;0.169158328717381;0;0;0;0;-0.0220159792118439
Animalia;Chordata;Mammalia;Diprotodontia;Macropodidae;Lagostrophus;Lagostrophus_fasciatus;2311.60741594161;0.175285256560026;0;0;1;0;-0.0220128235948494
Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma_yagouaroundi;2250.566666657;0.175647002907693;0;0;0;0;-0.0219744633907189
Animalia;Chordata;Mammalia;Primates;Callitrichidae;Callithrix;Callithrix_kuhlii;2190;0.17618842054605;0;0;0;0;-0.0217539202662998
