"Species" "Domain" "Kingdom" "Phylum" "Clade" "Subphylum" "Clade2" "Class" "Clade3" "Superorder" "Clade4" "Order" "Suborder" "Superfamily" "Family" "Subfamily" "Genus" "Subgenus"
"Uropsilus_gracilis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Uropsilus" NA
"Elephas_antiquus" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Elephantidae" NA "Elephas" NA
"Mammut_americanum" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Elephantidae" NA "Mammut" NA
"Manis_gigantea" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Manis_crassicaudata" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Manis_culionensis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Manidae" NA "Manis" NA
"Talpa_occidentalis" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Talpa" NA
"Hydrodamalis_gigas" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Dugongidae" NA "Hydrodamalis" NA
"Uropsilus_andersoni" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Laurasiatheria" NA NA "Talpidae" NA "Uropsilus" NA
"Elephantulus_edwardii" "Eukaryota" "Metazoa" "Chordata" "Craniata" "Vertebrata" "Euteleostomi" "Mammalia" "Eutheria" NA NA "Afrotheria" NA NA "Macroscelididae" NA "Elephantulus" NA
