Kingdom	Phylum	Class	Subclass	Infraclass	Superorder	Order (or infraorder for Cetacea)	Family	Species	AdultBodyMass_g	Sources_AdultBodyMass	GenerationLength_d	Sources_GL	FrT	residuals	Hib	Hib+unconfirmedHib	Daily	Daily+unconfirmedDaily	Mars	Mono	Temperature(C)_White2003,2006	Temperature(C)_White2003,2006+other	Temperature(C)_White2003,2006+other+close species	BMR(mL O2 h−1)_White2003,2006+other	BodyMassBMR(g)_White2003,2006+other	BMR(mL O2 h−1 g-1)_White2003,2006+other	Sourses_BodyT&BMR
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Prionodontidae	Prionodon_pardicolor	1142,68	PanTHERIA	1583,31	Rspan-ASMmales	0,227250008	0,0260935	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Procapra_gutturosa	28274,27	PanTHERIA	1793,275567	Rspan-AFR(SM+Gest)	0,192734169	-0,007309967	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Procapra_przewalskii	27499,99	PanTHERIA	2667,1385	Rspan-ASMmales	0,193990525	-0,001423997	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Afrotheria	Hyracoidea	Procaviidae	Procavia_capensis	2952,48	PanTHERIA	3079,14	Rspan-AFB	0,130081336	-0,063150454	0	0	0	0	0	0	37,00	37,00	37,00	660,00	2400,00	0,28	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Carnivora	Procyonidae	Procyon_lotor	6373,72	PanTHERIA	2703,9188	Rspan-AFR(SM+Gest)	0,195841465	0,000621801	0	0	0	0	0	0	38,00	38,00	38,00	1598,63	5075,00	0,32	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Echimyidae	Proechimys_longicaudatus	205	PanTHERIA	631,7859833	Mean_congenerics_same_body_mass	0,262949102	0,056751541	0	0	0	0	0	0			37,90				White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Rodentia	Cricetidae	Proedromys_liangshanensis	46,25861204	Mean_congenerics	589,3882991	Mean_family_same_body_mass	0,167495938	-0,03892624	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Lemuridae	Prolemur_simus	2030,41	PanTHERIA	3285	GMA	0,259283454	0,067142285	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Indridae	Propithecus_coquereli	4189,27	PanTHERIA	3650	GMA	0,192937694	0,002730248	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Indridae	Propithecus_diadema	6568,99	PanTHERIA	3650	GMA	0,201249253	0,011041807	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Indridae	Propithecus_edwardsi	6573,27	PanTHERIA	3650	GMA	0,202254642	0,012047196	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Indridae	Propithecus_tattersalli	3531,39	PanTHERIA	3283,175	Rspan-AFB	0,191808779	-0,00034206	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Euarchontoglires	Primates	Indridae	Propithecus_verreauxi	3588,26	PanTHERIA	3650	GMA	0,199897446	0,00969	0	0	0	0	0	0	36,00	36,00	36,00	670,00	3350,00	0,20	AnAge, White&Seymour2003
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Cervidae	Przewalskium_albirostris	161681,9	PanTHERIA	2555	GMA	0,198716873	0,002708256	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Metatheria	Australidelphia	Diprotodontia	Pseudocheiridae	Pseudocheirus_peregrinus	895,22	PanTHERIA	1217,0925	Rspan-AFB	0,173408405	-0,029688277	0	0	0	0	1	0	37,40	37,40	37,40	430,52	916,00	0,47	White_et_al2006
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Pseudois_nayaur	52334,57	PanTHERIA	2949,321667	Rspan-AFB	0,147642236	-0,046277315	0	0	0	0	0	0							
Animalia	Chordata	Mammalia	Theriiformes	Eutheria	Laurasiatheria	Artiodactyla	Bovidae	Pseudois_schaeferi	29249,99	PanTHERIA	2555	GMA	0,146263366	-0,049745252	0	0	0	0	0	0							
