"Species" "Temperature" "Longevity" "LongevityDummy" "AC_TGSkew" "Ectothermy"
"Trachurus_japonicus" 18 1096 0 0.457790641582248 1
"Trachurus_trachurus" 14.4 913 0 0.442307692307692 1
"Triaenodon_obesus" NA 2922 1 0.44100054377379 1
"Tribolodon_brandtii" NA 1096 0 0.408842523596622 1
"Tribolodon_sachalinensis" NA 913 0 0.415752741774676 1
"Trinectes_maculatus" 23 730 0 0.494106090373281 1
"Umbra_pygmaea" NA 730 0 0.388832487309645 1
"Zearaja_chilensis" 9.45 4299 1 0.467430953621678 1
"Zeus_faber" 11 1461 1 0.45361875637105 1
"Acinonyx_jubatus" 39 2190 0 0.507146941109205 0
"Acomys_cahirinus" 37.5 650.0125 0 0.621621621621622 0
"Addax_nasomaculatus" NA 2555 1 0.585100286532951 0
"Aepyceros_melampus" NA 2674.111667 1 0.596736596736597 0
"Ailuropoda_melanoleuca" NA 5246.699417 1 0.369491525423729 0
"Ailurus_fulgens" 37.6 3650 1 0.398126463700234 0
"Akodon_montensis" 37.7 589.3882991 0 0.508015478164732 0
"Alcelaphus_buselaphus" NA 2863.875333 1 0.601571268237935 0
"Alces_alces" 38.6 3721.7786 1 0.509632224168126 0
"Allenopithecus_nigroviridis" NA 4024.409658 1 0.494915254237288 0
"Alouatta_caraya" NA 3750.594 1 0.562822719449225 0
"Alouatta_seniculus" NA 3833.157 1 0.55045871559633 0
"Ammotragus_lervia" NA 1825 0 0.643101482326112 0
"Anoura_caudifer" 36.5 2064.27635 0 0.477426636568849 0
"Anourosorex_squamipes" NA 379.2929563 0 0.457922228670923 0
"Antidorcas_marsupialis" NA 2563.152683 1 0.494492753623188 0
"Antilocapra_americana" 38 1652.841667 0 0.655172413793103 0
"Antilope_cervicapra" NA 2747.350267 1 0.598860398860399 0
"Aotus_lemurinus" 38 2920 1 0.464530892448513 0
"Apodemus_agrarius" NA 504.40745 0 0.460739030023095 0
"Apodemus_chevrieri" NA 554.1929125 0 0.473074696004632 0
"Apodemus_draco" NA 554.1929125 0 0.555295494441194 0
"Apodemus_latronum" NA 554.1929125 0 0.542352941176471 0
"Apodemus_peninsulae" NA 554.1929125 0 0.464098073555166 0
"Arctocephalus_forsteri" NA 3285 1 0.534883720930233 0
"Arctocephalus_pusillus" NA 3587.7675 1 0.531285551763367 0
"Arctocephalus_townsendi" NA 3650 1 0.52058657642414 0
"Arctonyx_collaris" NA 1798.679445 0 0.536940081442699 0
"Artibeus_jamaicensis" 36.4 1920.4777 0 0.429533969679955 0
"Artibeus_lituratus" 37.3 1920.4777 0 0.397536394176932 0
"Ateles_belzebuth" NA 5475 1 0.552708211997671 0
"Avahi_laniger" NA 3649.771875 1 0.460021905805038 0
"Axis_axis" 39.2 3650 1 0.52168815943728 0
"Axis_porcinus" NA 2555 1 0.522041763341067 0
"Balaena_mysticetus" NA 18980 1 0.632975719932242 0
"Balaenoptera_acutorostrata" NA 8030 1 0.609783845278726 0
"Balaenoptera_bonaerensis" NA 8030 1 0.646127755794234 0
"Balaenoptera_borealis" NA 8504.5 1 0.618510158013544 0
"Balaenoptera_edeni" NA 10042.4483 1 0.626546681664792 0
"Balaenoptera_musculus" NA 11315 1 0.614173228346457 0
"Balaenoptera_omurai" NA 9016.737075 1 0.580246913580247 0
"Balaenoptera_physalus" NA 9490 1 0.601804850535815 0
"Bandicota_indica" NA 639.6318318 0 0.518753606462781 0
"Beatragus_hunteri" NA 2253.9745 1 0.5954802259887 0
"Berardius_bairdii" NA 9855 1 0.548821548821549 0
"Bison_bison" 38.7 4288.141667 1 0.587521663778163 0
"Bison_bonasus" 38.35 3595.3298 1 0.576923076923077 0
"Blarinella_quadraticauda" NA 379.2929563 0 0.406032482598608 0
"Blastocerus_dichotomus" NA 1825 0 0.423668639053254 0
"Bos_gaurus" NA 3285 1 0.592422502870264 0
"Bos_javanicus" 38.8 3285 1 0.571593533487298 0
"Bos_mutus" NA 3650 1 0.570276497695853 0
"Boselaphus_tragocamelus" NA 2944.82 1 0.596501457725948 0
"Brachyphylla_cavernarum" NA 2064.27635 0 0.529871580122836 0
"Bradypus_pygmaeus" 33 3873.20485 1 0.634420096205238 0
"Bubalus_depressicornis" 38.1 2920 1 0.545093590470788 0
"Budorcas_taxicolor" NA 2920 1 0.61800346220427 0
"Cabassous_centralis" 33.6 1859.11975 0 0.618141097424412 0
"Cabassous_chacoensis" NA 1859.11975 0 0.638297872340426 0
"Cabassous_tatouay" NA 1859.11975 0 0.591836734693878 0
"Cabassous_unicinctus" NA 1859.11975 0 0.617977528089888 0
"Cacajao_calvus" NA 3650 1 0.493150684931507 0
"Caenolestes_fuliginosus" NA 998.6765636 0 0.504161712247325 0
"Callimico_goeldii" 36 2190 0 0.436960276338515 0
"Callithrix_geoffroyi" NA 2110.588375 0 0.539691604797259 0
"Callithrix_jacchus" 36 2156.5235 0 0.542431192660551 0
"Callithrix_kuhlii" NA 2190 0 0.536082474226804 0
"Callithrix_penicillata" NA 2110.588375 0 0.544100801832761 0
"Callorhinus_ursinus" NA 4745 1 0.543839541547278 0
"Callosciurus_erythraeus" NA 1585.1964 0 0.41993281075028 0
"Camelus_ferus" 37.5 5840 1 0.43109151047409 0
"Canis_latrans" 37 2569.032222 1 0.414414414414415 0
"Canis_lupus" 38.3 2883.256667 1 0.403409090909091 0
"Caperea_marginata" NA 10278.51578 1 0.534804753820034 0
"Capra_aegagrus" 39.3 2097.005 0 0.586483390607102 0
"Capra_caucasica" 39.3 2555 1 0.587899543378996 0
"Capra_ibex" 39.3 2958.933333 1 0.607731665719159 0
"Capra_pyrenaica" 39.3 2471.76 1 0.604107244723331 0
"Capreolus_pygargus" 38 3063.8029 1 0.443793911007026 0
"Capricornis_crispus" NA 3135.631967 1 0.618668184405236 0
"Capricornis_milneedwardsii" NA 2555 1 0.594548551959114 0
"Capricornis_sumatraensis" NA 2555 1 0.595902105862265 0
"Capricornis_swinhoei" NA 2421.9825 1 0.594822734946539 0
"Caracal_caracal" NA 2239.8225 1 0.498858447488584 0
"Carollia_perspicillata" 36.4 1847.5352 0 0.49671772428884 0
"Cebus_albifrons" NA 5508.653 1 0.506031016657094 0
"Cephalophus_adersi" NA 703.088 0 0.604597701149425 0
"Cephalophus_callipygus" NA 1936.42625 0 0.581368602645199 0
"Cephalophus_leucogaster" NA 836.8205 0 0.573883161512027 0
"Cephalophus_natalensis" NA 1890.876667 0 0.570285714285714 0
"Cephalophus_spadix" NA 962.787 0 0.574052812858783 0
"Cephalorhynchus_heavisidii" NA 4469.46 1 0.530155083285468 0
"Ceratotherium_simum" NA 6865.345833 1 0.585462805224304 0
"Cercocebus_atys" NA 3285 1 0.56991643454039 0
"Cercocebus_chrysogaster" NA 3492.441667 1 0.594413407821229 0
"Cercocebus_torquatus" NA 3285 1 0.552439708356702 0
"Cercopithecus_diana" NA 3285 1 0.581649371927908 0
"Cercopithecus_lhoesti" NA 3650 1 0.528953229398664 0
"Cercopithecus_mitis" 37.5 4917.1705 1 0.529411764705882 0
"Cervus_elaphus" 35.2 5209.4516 1 0.51764025448236 0
"Chaetophractus_vellerosus" 34.4 1460 0 0.60806916426513 0
"Chaetophractus_villosus" 35.1 1460 0 0.603926096997691 0
"Chalinolobus_tuberculatus" 31.1 2051.666208 0 0.429906542056075 0
"Cheirogaleus_medius" 38 2584.9082 1 0.469178082191781 0
"Chinchilla_lanigera" 35.7 1825 0 0.553142857142857 0
"Chiropotes_albinasus" NA 3650 1 0.428895184135977 0
"Chlamyphorus_truncatus" NA 1831.21217 0 0.526372443487621 0
"Chlorocebus_cynosuros" 36.8 4533.4825 1 0.575055187637969 0
"Chlorocebus_pygerythrus" 36.8 4533.4825 1 0.571428571428572 0
"Chlorocebus_tantalus" 36.8 4533.4825 1 0.564116675839295 0
"Choloepus_didactylus" NA 4669.36675 1 0.679691799669785 0
