allparameters.Kingdom allparameters.Phylum allparameters.Class allparameters.Order allparameters.Family allparameters.Genus allparameters.Species allparameters.GenerationLength_d allparameters.FrT allparameters.Hib allparameters.Mono allparameters.Mars
NA NA NA NA NA Glis Glis_glis 1152.9402 0.272249258798132 1 0 0
Animalia Chordata Mammalia Cetacea Delphinidae Globicephala Globicephala_macrorhynchus 8650.5 0.215648772810784 0 0 0
Animalia Chordata Mammalia Cetacea Delphinidae Globicephala Globicephala_melas 8760 0.213135220629097 0 0 0
Animalia Chordata Mammalia Primates Hominidae Gorilla Gorilla_gorilla 8030 0.155556460333065 0 0 0
Animalia Chordata Mammalia Cetacea Delphinidae Grampus Grampus_griseus 7300 0.210412371934404 0 0 0
Animalia Chordata Mammalia Carnivora Mustelidae Gulo Gulo_gulo 2622.30185 0.172316561317115 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Halichoerus Halichoerus_grypus 5110 0.138036817413487 0 0 0
Animalia Chordata Mammalia Primates Lemuridae Hapalemur Hapalemur_griseus 3285 0.266855268385502 0 0 0
Animalia Chordata Mammalia Carnivora Ursidae Helarctos Helarctos_malayanus 3650 0.196632180258417 0 0 0
Animalia Chordata Mammalia Erinaceomorpha Erinaceidae Hemiechinus Hemiechinus_auritus 940.3939 0.315081873112466 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Hemitragus Hemitragus_jemlahicus 2555 0.150237280156801 0 0 0
Animalia Chordata Mammalia Rodentia Bathyergidae Heterocephalus Heterocephalus_glaber 2023.309775 0.118768054260954 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Hippocamelus Hippocamelus_antisensis 1459.26 0.240931560452366 0 0 0
Animalia Chordata Mammalia Artiodactyla Hippopotamidae Hippopotamus Hippopotamus_amphibius 3650 0.123379015235776 0 0 0
NA NA NA NA NA Hipposideros Hipposideros_armiger 1834.2256 0.168506535393688 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Hippotragus Hippotragus_equinus 3070.224366657 0.148729841516961 0 0 0
Animalia Chordata Mammalia Carnivora Hyaenidae Hyaena Hyaena_hyaena 3351.042633343 0.154033494367917 0 0 0
Animalia Chordata Mammalia Artiodactyla Cervidae Hydropotes Hydropotes_inermis 2190 0.229623730043291 0 0 0
Animalia Chordata Mammalia Carnivora Phocidae Hydrurga Hydrurga_leptonyx 5110 0.147785249287263 0 0 0
Animalia Chordata Mammalia Artiodactyla Tragulidae Hyemoschus Hyemoschus_aquaticus 1930.0898 0.179002187537537 0 0 0
Animalia Chordata Mammalia Primates Hylobatidae Hylobates Hylobates_agilis 5475 0.12040212714227 0 0 0
Animalia Chordata Mammalia Primates Hylobatidae Hylobates Hylobates_lar 5475 0.131435946589834 0 0 0
Animalia Chordata Mammalia Primates Hylobatidae Hylobates Hylobates_pileatus 5475 0.136959636623513 0 0 0
NA NA NA NA NA Hylomys Hylomys_suillus 1202.9252375 0.32836692460519 0 0 0
NA NA NA NA NA Hylopetes Hylopetes_phayrei 1384.1212625 0.284239431142234 0 0 0
Animalia Chordata Mammalia Cetacea Hyperoodontidae Hyperoodon Hyperoodon_ampullatus 6460.5 0.200674362684509 0 0 0
NA NA NA NA NA Indri Indri_indri 4015 0.235296682116988 0 0 0
Animalia Chordata Mammalia Cetacea Iniidae Inia Inia_geoffrensis 4840.09 0.202345213005514 0 0 0
Animalia Chordata Mammalia Peramelemorphia Peramelidae Isoodon Isoodon_macrourus 623.745 0.254784566170705 0 0 1
Animalia Chordata Mammalia Rodentia Dipodidae Jaculus Jaculus_jaculus 919.8561 0.250396310351582 0 0 0
Animalia Chordata Mammalia Artiodactyla Bovidae Kobus Kobus_leche 2660.837833343 0.187643183567253 0 0 0
Animalia Chordata Mammalia Cetacea Kogiidae Kogia Kogia_breviceps 4380 0.134940858653679 0 0 0
NA NA NA NA NA Lagenorhynchus Lagenorhynchus_albirostris 5667.52995 0.223090593676878 0 0 0
Animalia Chordata Mammalia Diprotodontia Macropodidae Lagorchestes Lagorchestes_hirsutus 1100.21785 0.210884266837793 0 0 1
Animalia Chordata Mammalia Diprotodontia Macropodidae Lagostrophus Lagostrophus_fasciatus 2311.60741594161 0.175285256560026 0 0 1
