"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Class"
"Oncorhynchus_nerka" 0.0226229302615418 0.141811213265639 0.0594548417917143 0.0199536505943693 0 0.10071661729388 0.529335674092185 0.0367073796940338 0 0.0379463991676437 0.0514512938389925 0 "Actinopterygii"
"Fundulus_olivaceus" 0.0147800838554425 0.0911438504418953 0.0172434311646829 0.015140150471234 0.007570075235617 0.100934336474893 0.595515763235135 0 0.0433102373261917 0.024258621289829 0.0866379331779607 0.00346551732711843 "Actinopterygii"
"Culter_alburnus" 0.00540620336510155 0.0818638322515004 0.00299540477706063 0.0228139049681169 0 0.101878634452466 0.712918207314329 0 0 0.00984044982811077 0.0622833630433154 0 "Actinopterygii"
"Squalius_pyrenaicus" 0 0.168826694890037 0.00527583421531367 0 0 0.102209050636983 0.626749664653189 0 0 0.0138483936577824 0.0761661651178033 0.00692419682889121 "Actinopterygii"
"Squalidus_argentatus" 0.00638562399496982 0.0525040195141963 0.00780465154940756 0.008046687297604 0.006035015473203 0.102595263044451 0.629734777337435 0.0340397176939154 0.0340397176939154 0.0315996080853463 0.0808949966984866 0.00631992161706927 "Actinopterygii"
"Lamprologus_tigripictilis" 0.0308856737674369 0.154428368837185 0 0.0342308098326798 0 0.10269242949804 0.636520952670809 0 0 0 0.0412417653938495 0 "Actinopterygii"
"Acrossocheilus_parallens" 0.00419413199247685 0.0591739283466178 0.00170723199800114 0.0237579150207729 0.0028639865588946 0.102876002668888 0.725719396105865 0.00586196079305912 0.0212210193449074 0.00962270230352226 0.0430017248669947 0 "Actinopterygii"
"Notopterus_notopterus" 0.0114315092727787 0.00381050309092624 0 0.0162481239537219 0 0.103506522716554 0.660052213489894 0 0 0.0192581181393934 0.185693009336732 0 "Actinopterygii"
"Opsariichthys_uncirostris" 0.00942791035421227 0.183844251907139 0.00471395517710613 0.0129757337069236 0.032439334267309 0.103805869655389 0.397768027325337 0.0331473356104447 0.044196447480593 0.0338440256220089 0.126915096082533 0.0169220128110044 "Actinopterygii"
"Xenophysogobio_nudicorpa" 0 0.0203718668744606 0 0.0499661329420892 0 0.103837827156647 0.578808894328715 0.123249794590487 0 0.0309413710269004 0.0928241130807012 0 "Actinopterygii"
"Anaecypris_hispanica" 0.0077638486934331 0.0465830921605986 0.0077638486934331 0 0 0.103891963730044 0.57444960865358 0 0.07833403754367 0.0319788706809249 0.149234729844316 0 "Actinopterygii"
"Clupea_harengus" 0.00543749383511759 0.210918097856335 0.0041580886595611 0.0100277693505831 0.00252712259973892 0.10392136695807 0.524862802843851 0.0124632350033334 0.0461891947534086 0.0143625358138393 0.0476568168306013 0.0174754754955603 "Actinopterygii"
"Chaenodraco_wilsoni" 0 0.0880448770007501 0.0880448770007501 0 0 0.104085649120212 0.652624617476363 0 0 0.0335999897009627 0.0335999897009627 0 "Actinopterygii"
"Hexagrammos_otakii" 0 0.13409202679998 0 0.15025862629571 0 0.104220363761051 0.487153893569278 0 0 0 0.124275089573981 0 "Actinopterygii"
"Danio_rerio" 0.00660628987142505 0.0555554861080244 0.00264411844135268 0.0146496847076744 0.0036624211769186 0.104363661369785 0.612754308989218 0.0149867173313172 0.0374667933282931 0.0305473691286247 0.105307886124132 0.0114552634232343 "Actinopterygii"
"Philypnodon_grandiceps" 0.00619821769552158 0.0433875238686511 0.0165285805213909 0.0149333133421486 0.0149333133421486 0.10453319339504 0.681624087511745 0.0119583173247675 0.0239166346495349 0.0307450568808942 0.0461175853213414 0.00512417614681571 "Actinopterygii"
"Proterorhinus_marmoratus" 0.0246130740036047 0.0196904592028838 0.0196904592028838 0.0440967674798023 0 0.105832241951526 0.612581233254072 0.072068380382832 0 0.035797900419669 0.059663167366115 0.0059663167366115 "Actinopterygii"
"Gymnocypris_przewalskii" 0.0183999304365045 0.113199248092919 0.00919996521825225 0.0431894189193263 0.0215947094596632 0.106101857743989 0.462867181684179 0 0.0386774047951013 0.0169791166954604 0.152812050259144 0.0169791166954604 "Actinopterygii"
"Takifugu_flavidus" 0.00456519628899121 0.0376573012579291 0.00462173413144066 0.00872601863848836 0.0158309872787601 0.106416012037154 0.666871009344451 0.0211625311492507 0 0.0162432242572768 0.107053658198793 0.0108523274174647 "Actinopterygii"
"Acanthorhodeus_chankaensis" 0.00598514990536257 0.0339158494637212 0.00199504996845419 0.0509208852317979 0 0.106470941848305 0.588106034179105 0.012252209045398 0.0980176723631841 0.0150494423521578 0.0782571002312204 0.00902966541129466 "Actinopterygii"
"Trichomycterus_areolatus" 0.00475873633599594 0.0682085541492751 0.0206211907893157 0.0306079668475005 0 0.107127883966252 0.605378888703751 0.0108103372982813 0.0540516864914063 0.0442956399382001 0.0442956399382001 0.00984347554182224 "Actinopterygii"
"Zeus_faber" 0.0113013474263502 0.0904107794108013 0.0678080845581009 0 0.0357876001834422 0.107362800550327 0.252069183900767 0.0840230613002555 0.0840230613002555 0.0763468803913433 0.190867200978358 0 "Actinopterygii"
"Salanx_cuvieri" 0 0.0932270001501382 0.0466135000750691 0 0 0.107569615557852 0.499430357947169 0 0 0.0361656466099674 0.14466258643987 0.0723312932199348 "Actinopterygii"
"Barbus_rebeli" 0.00350691331054613 0.0981935726952916 0.00701382662109226 0.0270471766137698 0 0.108188706455079 0.627660576594105 0 0.0321877218766208 0.0549722890477119 0.0343576806548199 0.00687153613096398 "Actinopterygii"
"Relictus_solitarius" 0.00776951053058238 0.108372508817696 0.00985204625615414 0.0175511051758372 0.0175511051758372 0.108637289868537 0.543563459356006 0.040156866293548 0.0800647805272205 0.0368754622839522 0.0238921423296111 0.00571372338501891 "Actinopterygii"
"Pseudorasbora_parva" 0.00680962123707694 0.0435815759172924 0.0122573182267385 0.024896218805957 0.00622405470148925 0.108920957276062 0.515378214622465 0.0266574938597827 0.106629975439131 0.0257269447928087 0.117200526278351 0.00571709884284639 "Actinopterygii"
"Elopichthys_bambusa" 0.0213386586423045 0.0213386586423045 0.00948384828546866 0.0291232054998528 0.00728080137496319 0.109212020624448 0.531749562488691 0.0295416423604828 0.0590832847209656 0.0545544952081558 0.115170600994996 0.012123221157368 "Actinopterygii"
