"Species" "A_T" "A_G" "A_C" "T_A" "T_G" "T_C" "G_A" "G_T" "G_C" "C_A" "C_T" "C_G" "Temperature" "Tm" "AGdivTC"
"Hippocampus_erectus" 0 0.00660562778920667 0 0 0 0.0133161068131627 0.576753876345108 0 0.209728682307312 0 0.179767441977696 0.0138282647675151 25.5 NA 2.01587301587302
"Seriola_dumerili" 0.0340273877592628 0.0884712081740834 0.0408328653111154 0.0570219400444917 0.0427664550333688 0.185321305144598 0.243700910428244 0.0731102731284733 0.0487401820856489 0.0653539769616019 0.100544579940926 0.0201089159881852 26 4 2.09470752089136
"Paralichthys_olivaceus" 0.00935942274316554 0.0655159592021588 0.0187188454863311 0.0124906061039146 0 0.137396667143061 0.524844674538771 0 0.112466715972594 0.0132452343122227 0.105961874497781 0 15 NA 2.09714806615445
"Katsuwonus_pelamis" 0.00929233856752929 0.0637862063461949 0.00820336891373718 0.0152149312632713 0.00294197540733077 0.136466441843969 0.646797008186898 0.00455237754556318 0.0346080981167898 0.0162351291929891 0.0587959591508317 0.00310616546489539 25 3 2.13943499168625
"Thunnus_alalunga" 0.00995931433034798 0.0616425654841131 0.00500834314888551 0.0170961171279134 0 0.131989528718452 0.613006380512847 0.0320802724513129 0.0428087379420099 0.0113713373983754 0.075037402885743 0 14 5.25 2.14120758410792
"Lutjanus_argentimaculatus" 0.0162945457259716 0.0681177047952308 0.0162945457259716 0.0238660489483356 0.00618357119857384 0.147137593161644 0.593075896577013 0.0182696421776045 0.036539284355209 0.0190473143741071 0.0527955563455032 0.00237829661483609 27 4.5 2.16004919138065
"Trachurus_novaezelandiae" 0 0.062563903567366 0 0 0 0.136545428269931 0.662574352237526 0 0.110429058706254 0 0.0185915048126148 0.00929575240630742 12 NA 2.18249534450652
"Anabas_testudineus" 0 0.067278846594203 0 0.0066894218653644 0.0216776003141622 0.147719865403963 0.501890962266681 0.0510828578809645 0.0751346840642861 0.0264324335053244 0.0908175133219619 0.0112758147830891 26 NA 2.19563611568649
"Sander_vitreus" 0.00529703136825876 0.0560926711894233 0.0105940627365175 0.0373071010357775 0 0.123835679522754 0.603598625769237 0.0473880575483457 0 0.0142724194660985 0.0853351624978906 0.0162791888656981 NA 5 2.20769802715518
"Acipenser_gueldenstaedtii" 0.0133431299618545 0.0800587797711268 0 0.0443783989577351 0 0.17751359583094 0.524538125385689 0 0.0749340179122413 0 0.0511403713082478 0.0340935808721652 13.6 NA 2.21729079981507
"Epinephelus_fuscoguttatus" 0.00464382661696141 0.0712580809258085 0.00413925931275237 0.0167815813575276 0 0.161763804408432 0.624928425344993 0 0 0.0125195312983626 0.103965490735162 0 29 NA 2.2701117165484
"Sarcocheilichthys_sinensis" 0 0.0763570999203851 0 0 0 0.173437774540361 0.632085954226722 0 0 0 0.107285410420483 0.0108337608920486 NA 3 2.27140337599514
"Beryx_splendens" 0.00806062124783404 0.0403031062391702 0 0.023054212066344 0 0.0922168482653759 0.585455648526893 0 0.234182259410757 0.00836365212181276 0.00836365212181276 0 18 5.9 2.2880829015544
"Pungitius_pungitius" 0.0170878286627948 0.0751864461162972 0.0273405258604717 0.0511138758146845 0.00638923447683556 0.17250933087456 0.372499662365465 0.0588157361629682 0.0392104907753122 0.0513848196830315 0.117451016418358 0.011011032789221 10 NA 2.29442060085837
"Hypophthalmichthys_nobilis" 0.0032511015762692 0.062552090138481 0.00844971573519271 0.0399986584728296 0 0.147172400099048 0.612336303638998 0 0 0.0148032569429245 0.111436473396257 0 20 NA 2.35279748083925
"Plagioscion_squamosissimus" 0 0.0752970837728867 0.00941213547161084 0 0.0209585420252196 0.178147607214367 0.554880096328069 0.0396342925948621 0.0396342925948621 0.00683632916651024 0.0546906333320819 0.0205089874995307 22.1 1.25 2.36592970521543
"Auxis_thazard" 0 0.0651320138244462 0 0.051612386884551 0.0258061934422755 0.154837160653653 0.558546733187202 0.0620607481319114 0 0.0117149662679943 0.0702897976079659 0 27 2.5 2.37728194726166
"Pseudorasbora_parva" 0.00680962123707694 0.0435815759172924 0.0122573182267385 0.024896218805957 0.00622405470148925 0.108920957276062 0.515378214622465 0.0266574938597827 0.106629975439131 0.0257269447928087 0.117200526278351 0.00571709884284639 NA 1 2.4992432004471
"Larimichthys_polyactis" 0.00155774841033226 0.0763296721062808 0.00934649046199357 0.00347495812714438 0 0.194597655120085 0.579297770889243 0.00742689449858004 0.0519882614900603 0.0137187102173839 0.0569854116722099 0.00527642700668611 22 NA 2.54943653955606
"Hemiculter_leucisculus" 0 0.0619711912338723 0 0 0.0133511463467092 0.160213756160511 0.65554834972202 0.0226051155076559 0 0.0143850735048719 0.0719253675243596 0 NA 2 2.58529411764706
"Helicolenus_dactylopterus" 0.0132729215746293 0.0265458431492586 0.0132729215746293 0 0 0.0692570775441962 0.771093539097513 0 0 0 0.106557697059774 0 17.5 13 2.60896130346233
"Spicara_maena" 0.0196581094348901 0.0589743283046703 0.00655270314496337 0.045047057552494 0.00750784292541566 0.157664701433729 0.373283201628812 0.0746566403257625 0.124427733876271 0.0264455362745984 0.0925593769610945 0.0132227681372992 19 2 2.67344632768362
"Carassius_gibelio" 0.00359310633250731 0.0580263890459917 0.0098256500246854 0 0.00383252675587176 0.156687368157975 0.649101824509261 0.00851509788922029 0.0105701087926943 0.0287812013850435 0.0686435017989335 0.00242322530781621 10 NA 2.70027776558325
"Thunnus_thynnus" 0.0144545315142904 0.0932111626398341 0.0129105670754293 0.0160532115029893 0.00962650391235615 0.253679639069177 0.423225145149871 0 0 0.0150513596917315 0.155974639281143 0.00581324016317828 15.5 3 2.72155857608374
"Scombrops_gilberti" 0 0.0717732303628762 0.0358866151814381 0 0 0.196645947967668 0.565812299360674 0 0 0.0354223383074573 0.0944595688198861 0 12 NA 2.73982300884956
"Plotosus_lineatus" 0.0214743502729625 0.0398809362212162 0.0337454075717983 0.20247244543079 0 0.110439515689522 0.352747109814293 0.0293955924845244 0.0587911849690489 0.0871462255072184 0.0639072320386268 0 18.85 NA 2.76923076923077
"Mylopharyngodon_piceus" 0.00476902175778715 0.0446276767280149 0.0106974155485029 0.0154865209646649 0 0.12410717431125 0.527703764277843 0 0.128195734937772 0.0434144675980208 0.0798158878971264 0.0211823359790182 NA 3 2.78094634116013
"Siganus_argenteus" 0.011743466574561 0.0352303997236831 0 0.0245733331406013 0 0.0982933325624052 0.66937759474998 0 0.11156293245833 0 0.0492189407904397 0 28 NA 2.79001468428781
"Hippocampus_reidi" 0 0.0179074927408892 0.00895374637044462 0.0173105763161929 0 0.0519317289485788 0.719054708518784 0 0 0.0264059638721587 0.158435783232952 0 28.5 NA 2.90000000000001
