"","species_name","ability_to_dive","GhAhSkew","fAn","fGn"
"Loxia_curvirostra","Loxia_curvirostra","Non-diving","0.438071629754146","0.142002419515911","0.356522914047779"
"Loxia_leucoptera","Loxia_leucoptera","Non-diving","0.484506929705546","0.129419262763354","0.367960731090195"
"Loxops_caeruleirostris","Loxops_caeruleirostris","Non-diving","0.408937655903607","0.146898519125021","0.351948482628068"
"Loxops_coccineus","Loxops_coccineus","Non-diving","0.462322860227725","0.133974299815055","0.363118384797248"
"Machaerirhynchus_nigripectus","Machaerirhynchus_nigripectus","Non-diving","0.384171072992503","0.133737451555714","0.302022674363575"
"Macroagelaius_imthurni","Macroagelaius_imthurni","Non-diving","0.479481452776798","0.132740350348935","0.365426972744093"
"Malurus_elegans","Malurus_elegans","Non-diving","0.471963319847904","0.141343729920733","0.392636388503831"
"Malurus_melanocephalus","Malurus_melanocephalus","Non-diving","0.477213206508559","0.139587465356575","0.39084862029896"
"Megaceryle_lugubris","Megaceryle_lugubris","Coraciiformes","0.514643145144875","0.117659924443386","0.361254245512129"
"Megalaima_virens","Megalaima_virens","Non-diving","0.283862153512654","0.207960201838653","0.375682434108128"
"Melamprosops_phaeosoma","Melamprosops_phaeosoma","Non-diving","0.345146759783319","0.166467277580398","0.327066179832631"
"Melanocharis_versteri","Melanocharis_versteri","Non-diving","0.488963296016612","0.119328171576597","0.349048473142387"
"Melanocorypha_mongolica","Melanocorypha_mongolica","Non-diving","0.663942300619044","0.0902730055259525","0.446653759834812"
"Melophus_lathami","Melophus_lathami","Non-diving","0.615873940502606","0.100322999946429","0.422391361305641"
"Melopsittacus_undulatus","Melopsittacus_undulatus","Non-diving","0.583809610254397","0.103570782275249","0.397325132402972"
"Menura_novaehollandiae","Menura_novaehollandiae","Non-diving","0.430380370025396","0.146749055589147","0.372513022226575"
"Mergus_merganser","Mergus_merganser","Anseriformes","0.687413994678406","0.0764798275776329","0.40888383132584"
"Merops_viridis","Merops_viridis","Non-diving","0.595684406424885","0.116125247611707","0.458280543381636"
"Micrastur_gilvicollis","Micrastur_gilvicollis","Non-diving","0.478960946430289","0.139045148194806","0.395020039525053"
"Milvus_migrans","Milvus_migrans","Non-diving","0.538989518378877","0.123332778628228","0.408982314426816"
"Minla_ignotincta","Minla_ignotincta","Non-diving","0.469873578686727","0.13404613082499","0.366805362239928"
"Mionectes_oleagineus","Mionectes_oleagineus","Non-diving","0.392839452835377","0.171760659895799","0.392894144505217"
"Molothrus_aeneus","Molothrus_aeneus","Non-diving","0.576784639386078","0.110006837145213","0.400160884979775"
"Molothrus_ater","Molothrus_ater","Non-diving","0.552445444580955","0.114156204830421","0.393586629436004"
"Monticola_gularis","Monticola_gularis","Non-diving","0.492931969881005","0.139332638803652","0.404650132662403"
"Montifringilla_adamsi","Montifringilla_adamsi","Non-diving","0.543256203549649","0.114380376103531","0.380334135497726"
"Montifringilla_nivalis","Montifringilla_nivalis","Non-diving","0.508580167071976","0.121729876478038","0.376100397228719"
"Motacilla_cinerea","Motacilla_cinerea","Non-diving","0.5743143600246","0.104907219328618","0.384373671758883"
"Muscicapa_griseisticta","Muscicapa_griseisticta","Non-diving","0.517179636133447","0.12686384110907","0.399851491470313"
"Muscicapa_sibirica","Muscicapa_sibirica","Non-diving","0.498623550217441","0.130608628319453","0.392340612522439"
"Mycerobas_carnipes","Mycerobas_carnipes","Non-diving","0.589786168240046","0.102638612476879","0.395505241842247"
"Myiagra_hebetior","Myiagra_hebetior","Non-diving","0.236605533149005","0.171350887270734","0.276411800475246"
"Myiopsitta_monachus","Myiopsitta_monachus","Non-diving","0.424300238756803","0.132329727387444","0.331848621618467"
"Mystacornis_crossleyi","Mystacornis_crossleyi","Non-diving","0.49638503911989","0.107482417959368","0.315918952531645"
"Myzornis_pyrrhoura","Myzornis_pyrrhoura","Non-diving","0.632933473962113","0.0870448722685737","0.388288405162877"
"Napothera_epilepidota","Napothera_epilepidota","Non-diving","0.480634989712752","0.127591453088521","0.367617663748412"
"Neodrepanis_coruscans","Neodrepanis_coruscans","Non-diving","0.257704720781913","0.217765277250869","0.371377134675605"
"Neophema_chrysogaster","Neophema_chrysogaster","Non-diving","0.65503828563541","0.0877913327313261","0.417199588847736"
"Neopipo_cinnamomea","Neopipo_cinnamomea","Non-diving","0.209289151299465","0.231929854878626","0.352681181473973"
"Nesopsar_nigerrimus","Nesopsar_nigerrimus","Non-diving","0.501787349415186","0.130153887895968","0.38691786603577"
"Nesospiza_acunhae","Nesospiza_acunhae","Non-diving","0.534258418794652","0.121410858133696","0.400454809051449"
"Nestor_notabilis","Nestor_notabilis","Non-diving","0.342724729536296","0.169218287832522","0.343161559425902"
"Netta_rufina","Netta_rufina","Anseriformes","0.618764596884132","0.0953444877183977","0.394808304323373"
"Nicator_chloris","Nicator_chloris","Non-diving","0.448089335659991","0.140885001744004","0.375515608014486"
"Niltava_davidi","Niltava_davidi","Non-diving","0.483225197882058","0.12647609720117","0.36155079777159"
"Ninox_novaeseelandiae","Ninox_novaeseelandiae","Non-diving","0.563259887132011","0.105081614445029","0.3788537560238"
"Ninox_scutulata","Ninox_scutulata","Non-diving","0.618080800294589","0.0925140929675866","0.392990101385535"
"Ninox_strenua","Ninox_strenua","Non-diving","0.581070574354367","0.101804344783048","0.385640793825468"
"Nisaetus_alboniger","Nisaetus_alboniger","Non-diving","0.547113823337233","0.124851834576531","0.419689684470639"
"Nisaetus_nipalensis","Nisaetus_nipalensis","Non-diving","0.53653070803881","0.12750606087696","0.418727416215406"
"Nothocercus_julius","Nothocercus_julius","Non-diving","0.287271083990916","0.198770340399337","0.364042403604511"
"Nothocercus_nigrocapillus","Nothocercus_nigrocapillus","Non-diving","0.359133991547087","0.1725981132213","0.365123172109469"
"Nothoprocta_ornata","Nothoprocta_ornata","Non-diving","0.0328456001382126","0.28994801125138","0.309907295695648"
"Nothoprocta_pentlandii","Nothoprocta_pentlandii","Non-diving","0.0316241521137081","0.288976450719389","0.307293049629017"
"Nothoprocta_perdicaria","Nothoprocta_perdicaria","Non-diving","-0.0298911979882894","0.313836718191451","0.294848748091337"
"Notiomystis_cincta","Notiomystis_cincta","Non-diving","0.417441384573182","0.133112683610657","0.326110920972169"
"Nucifraga_caryocatactes","Nucifraga_caryocatactes","Non-diving","0.301593099734734","0.176591783976306","0.318920736297034"
"Nucifraga_columbiana","Nucifraga_columbiana","Non-diving","0.265929531465588","0.183260135693528","0.307772634619371"
