"","species_name","ability_to_fly","GhAhSkew","fAn","fGn"
"Mesembrinibis_cayennensis","Mesembrinibis_cayennensis","Flying","0.336195745506317","0.169605596706618","0.342052688445782"
"Micrastur_gilvicollis","Micrastur_gilvicollis","Flying","0.478960946430289","0.139045148194806","0.395020039525053"
"Milvus_migrans","Milvus_migrans","Flying","0.538989518378877","0.123332778628228","0.408982314426816"
"Minla_ignotincta","Minla_ignotincta","Flying","0.469873578686727","0.13404613082499","0.366805362239928"
"Mionectes_oleagineus","Mionectes_oleagineus","Flying","0.392839452835377","0.171760659895799","0.392894144505217"
"Molothrus_aeneus","Molothrus_aeneus","Flying","0.576784639386078","0.110006837145213","0.400160884979775"
"Molothrus_ater","Molothrus_ater","Flying","0.552445444580955","0.114156204830421","0.393586629436004"
"Monticola_gularis","Monticola_gularis","Flying","0.492931969881005","0.139332638803652","0.404650132662403"
"Montifringilla_adamsi","Montifringilla_adamsi","Flying","0.543256203549649","0.114380376103531","0.380334135497726"
"Montifringilla_nivalis","Montifringilla_nivalis","Flying","0.508580167071976","0.121729876478038","0.376100397228719"
"Motacilla_cinerea","Motacilla_cinerea","Flying","0.5743143600246","0.104907219328618","0.384373671758883"
"Muscicapa_griseisticta","Muscicapa_griseisticta","Flying","0.517179636133447","0.12686384110907","0.399851491470313"
"Muscicapa_sibirica","Muscicapa_sibirica","Flying","0.498623550217441","0.130608628319453","0.392340612522439"
"Mycerobas_carnipes","Mycerobas_carnipes","Flying","0.589786168240046","0.102638612476879","0.395505241842247"
"Myiagra_hebetior","Myiagra_hebetior","Flying","0.236605533149005","0.171350887270734","0.276411800475246"
"Myiopsitta_monachus","Myiopsitta_monachus","Flying","0.424300238756803","0.132329727387444","0.331848621618467"
"Mystacornis_crossleyi","Mystacornis_crossleyi","Flying","0.49638503911989","0.107482417959368","0.315918952531645"
"Myzornis_pyrrhoura","Myzornis_pyrrhoura","Flying","0.632933473962113","0.0870448722685737","0.388288405162877"
"Napothera_epilepidota","Napothera_epilepidota","Flying","0.480634989712752","0.127591453088521","0.367617663748412"
"Neodrepanis_coruscans","Neodrepanis_coruscans","Flying","0.257704720781913","0.217765277250869","0.371377134675605"
"Neophema_chrysogaster","Neophema_chrysogaster","Flying","0.65503828563541","0.0877913327313261","0.417199588847736"
"Neopipo_cinnamomea","Neopipo_cinnamomea","Flying","0.209289151299465","0.231929854878626","0.352681181473973"
"Nesopsar_nigerrimus","Nesopsar_nigerrimus","Flying","0.501787349415186","0.130153887895968","0.38691786603577"
"Nesospiza_acunhae","Nesospiza_acunhae","Flying","0.534258418794652","0.121410858133696","0.400454809051449"
"Nestor_notabilis","Nestor_notabilis","Flying","0.342724729536296","0.169218287832522","0.343161559425902"
"Netta_rufina","Netta_rufina","Flying","0.618764596884132","0.0953444877183977","0.394808304323373"
"Nicator_chloris","Nicator_chloris","Flying","0.448089335659991","0.140885001744004","0.375515608014486"
