"","species_name","med_c","med_a","realm"
"157","Chrysomus ruficapillus",0.803751803751804,0.950428921568627,"Neotropic"
"158","Ciconia boyciana",0.805909562918909,0.916366965278232,"Palearctic"
"159","Ciconia ciconia",0.790868758205442,0.928382787012584,"Palearctic"
"160","Ciconia nigra",0.811497656057242,0.914634146341463,"Palearctic"
"161","Cinclosoma castanotum",0.733664772727273,0.915960451977401,"Australian"
"162","Cinclosoma punctatum",0.737733953685101,0.919243666169896,"Australian"
"163","Cinclus mexicanus",0.853724750379607,0.917306052855925,"Nearctic"
"164","Circaetus pectoralis",0.815698818897638,0.887970615243342,"Afrotropic"
"165","Circus melanoleucos",0.784870550161812,0.923810673750302,"Palearctic"
"166","Climacteris rufus",0.808371484630477,0.892180774748924,"Australian"
"167","Cnemophilus loriae",0.784384309831182,0.859308736217133,"Australian"
"168","Cnemotriccus fuscatus",0.586435124508519,0.91719894064496,"Neotropic"
"169","Coccothraustes coccothraustes",0.784313725490196,0.926377002413869,"Palearctic"
"170","Colinus virginianus",0.784347231715653,0.964767156862745,"Nearctic"
"171","Colius striatus",0.729026714575848,0.914877608346709,"Afrotropic"
"172","Columba hodgsonii",0.754371859296482,0.910233592880979,"Palearctic"
"173","Columba livia",0.746657754010695,0.910521472392638,"Palearctic"
"174","Columba rupestris",0.760631525337408,0.907944277108434,"Palearctic"
"175","Copsychus saularis",0.79954257565095,0.909183673469388,"Indo_Malay"
"176","Coracopsis vasa",0.766632989995565,0.912449567723343,"Madagascar"
"177","Corvus brachyrhynchos",0.700953968695008,0.919695732080866,"Nearctic"
"178","Corvus corax",0.686274509803922,0.947150735294118,"Palearctic"
"179","Corvus coronoides",0.726608187134503,0.923850574712644,"Australian"
"180","Corvus cryptoleucus",0.690622299049265,0.952647800504343,"Nearctic"
"181","Corvus dauuricus",0.725916924436589,0.904008693552282,"Palearctic"
"182","Corvus frugilegus",0.694779116465863,0.914285714285714,"Palearctic"
"183","Corvus hawaiiensis",0.718518518518519,0.938131313131313,"Oceania"
"184","Corvus macrorhynchos",0.699677938808374,0.929861111111111,"Palearctic"
"185","Corvus moneduloides",0.730961978429023,0.932175622542595,"Australian"
"186","Corvus splendens",0.732808857808858,0.933673469387755,"Indo_Malay"
"187","Corythaixoides concolor",0.807447461267065,0.909240584482404,"Afrotropic"
"188","Cossypha semirufa",0.745452113429641,0.927220278066774,"Afrotropic"
"189","Coturnicops exquisitus",0.754515599343186,0.935416666666667,"Palearctic"
"190","Coturnix chinensis",0.758053221288515,0.932584269662921,"Indo_Malay"
"191","Coturnix japonica",0.765233732675593,0.953018285966072,"Palearctic"
"192","Crax daubentoni",0.771939328277356,0.894807583474816,"Neotropic"
"193","Crax rubra",0.780448717948718,0.890988372093023,"Neotropic"
"194","Crossoptilon auritum",0.762518230432669,0.866008105369807,"Palearctic"
"195","Crossoptilon crossoptilon",0.739023088215668,0.85605138607167,"Palearctic"
"196","Crossoptilon harmani",0.737936604078336,0.86562860438293,"Palearctic"
"197","Crossoptilon mantchuricum",0.762518230432669,0.872830586014088,"Palearctic"
"198","Crotophaga sulcirostris",0.735450973053892,0.935995903737839,"Neotropic"
"199","Crypturellus cinnamomeus",0.660498960498961,0.933700025840747,"Neotropic"
"200","Crypturellus soui",0.655717921713182,0.907941858015589,"Neotropic"
"201","Crypturellus undulatus",0.652557544757033,0.917094017094017,"Neotropic"
"202","Cuculus poliocephalus",0.756417006713176,0.949661084529506,"Palearctic"
"203","Culicicapa ceylonensis",0.789292497625831,0.898011100832562,"Indo_Malay"
"204","Curaeus curaeus",0.786162790697674,0.916087962962963,"Neotropic"
"205","Cyanopica cyanus",0.738613360323887,0.912124849939976,"Palearctic"
"206","Cyanoptila cyanomelana",0.825600961538462,0.922147529069767,"Palearctic"
"207","Cygnus atratus",0.833809523809524,0.827777777777778,"Australian"
"208","Cygnus columbianus",0.795653638814016,0.875059101654846,"Palearctic"
"209","Cygnus cygnus",0.79873417721519,0.856295149638803,"Palearctic"
"210","Cygnus olor",0.818454772275553,0.825757575757576,"Palearctic"
"211","Cypseloides fumigatus",0.707343124165554,0.9245187720972,"Neotropic"
"212","Daphoenositta chrysoptera",0.651856398967021,0.952681737588652,"Australian"
"213","Daption capense",0.706190061028771,0.906438436101926,"Antarctic"
"214","Dasyornis broadbenti",0.740842490842491,0.86656062212796,"Australian"
"215","Delichon urbicum",0.828571428571429,0.916083916083916,"Palearctic"
"216","Dendrocitta formosae",0.749402628434886,0.923026646556058,"Indo_Malay"
"217","Dendrocopos darjellensis",0.759190887666929,0.914816933638444,"Palearctic"
"218","Dendrocopos leucotos",0.780875576036866,0.912832418742085,"Palearctic"
"219","Dendrocopos major",0.771808960270499,0.899701992922332,"Palearctic"
"220","Dendrocygna javanica",0.744705115672858,0.852002503128911,"Indo_Malay"
"221","Dicaeum agile",0.804230983081363,0.920261437908497,"Indo_Malay"
"222","Dicaeum concolor",0.760345389377648,0.921715452688904,"Indo_Malay"
"223","Dicaeum eximium",0.742975954494527,0.943992490613267,"Australian"
"224","Dicrurus hottentottus",0.616025641025641,0.915752133909766,"Indo_Malay"
"225","Dicrurus macrocercus",0.690418679549114,0.905532891381948,"Indo_Malay"
"226","Dicrurus megarhynchus",0.58798344739774,0.916083916083916,"Australian"
"227","Didunculus strigirostris",0.750634517766497,0.912565695174391,"Oceania"
"228","Diopsittaca nobilis",0.762125162972621,0.900207693183111,"Neotropic"
"229","Dives dives",0.830851697438952,0.936141304347826,"Neotropic"
"230","Dromaius novaehollandiae",0.640400157697615,0.932352941176471,"Australian"
"231","Drymodes brunneopygia",0.754913954816083,0.877047115142353,"Australian"
"232","Dryocopus pileatus",0.795096716149348,0.843764669065874,"Nearctic"
"233","Dryoscopus gambensis",0.685688405797101,0.943991640543365,"Afrotropic"
"234","Eclectus roratus",0.837331901010583,0.954700854700855,"Australian"
"235","Egretta eulophotes",0.784316217590239,0.934080531340805,"Palearctic"
"236","Egretta garzetta",0.787274835027644,0.940285204991087,"Afrotropic"
"237","Egretta sacra",0.785892165388568,0.920181441986312,"Australian"
"238","Emberiza aureola",0.841379835516296,0.936019417475728,"Palearctic"
"239","Emberiza chrysophrys",0.840929613075082,0.899003623188406,"Palearctic"
"240","Emberiza cioides",0.825529499275731,0.932388400130336,"Palearctic"
"241","Emberiza elegans",0.82730607966457,0.907805429864253,"Palearctic"
"242","Emberiza fucata",0.859803921568628,0.920423983546907,"Palearctic"
"243","Emberiza jankowskii",0.810485001401738,0.942224442224442,"Palearctic"
"244","Emberiza leucocephalos",0.837719298245614,0.897114336045634,"Palearctic"
"245","Emberiza pusilla",0.818945868945869,0.881652661064426,"Palearctic"
