Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche
Accipiter_rhodogaster,"1,683247822","0,6279089832","-0,3621678405","0,1035268051","0,297923639","-0,02461309384","-0,03764295417","-0,180734367","-0,05442672223","0,4154600537","-0,5395759005","-0,05932002241","-0,03308966505",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_rufitorques,"2,180837715","0,3684126308","-0,472505542","0,06414734852","0,3207954105","0,08636905013","-0,0007439138275","-0,2175772799","-0,0376512904","0,8841203925","-0,5195518859","-0,009822150153","-0,009942885703",Oceania,Carnivore,Vertivore,Generalist
Accipiter_rufiventris,"1,846310147","0,8536970007","-0,4843560178","-0,117818021","0,1804393253","-0,0006560688735","-0,01648133119","-0,2304693856","-0,04221207209","0,2696777183","-0,5378117869","-0,02763799044","-0,06975941676",Afrotropic,Carnivore,Vertivore,Generalist
Accipiter_soloensis,"1,596340129","0,4430159207","-0,2940387395","0,03927968504","-0,0121726177","0,01129681944","0,08928717359","-0,1570499774","0,1951751191","0,4846457061","-0,39821758","0,07464983085","-0,2586747135",Palearctic,Carnivore,Vertivore,Vertivore perch
Accipiter_striatus,"1,475119168","0,6183718944","-0,6242452059","0,03010955488","0,2813773159","0,01771512593","0,04096953867","-0,2258983681","-0,001698884671","0,3496556119","-0,6549359621","0,02613234759","-0,06542344919",Nearctic,Carnivore,Vertivore,Generalist
Accipiter_superciliosus,"0,9592869431","0,4239454992","-0,3785522146","0,1779553351","0,1395687859","0,01893414804","-0,1516845643","-0,07853239201","0,01212641618","0,2281805717","-0,5195325094","-0,160642205","-0,03403783613",Neotropic,Carnivore,Vertivore,Vertivore aerial
Accipiter_tachiro,"2,585476761","0,873023971","-0,4692913727","0,1052504158","0,2071916838","-0,06586692409","-0,03196370382","-0,1284201505","-0,4529417316","0,6085441789","-0,6788489465","-0,02280989455","0,3176940003",Afrotropic,Carnivore,Vertivore,Generalist
Accipiter_toussenelii,"2,290532382","0,5617337515","-0,4462842482","-0,0299308127","0,3337489908","-0,05631203438","0,01220395792","-0,1376890337","-0,041638152","0,7535403485","-0,4856260622","-0,01658982937","-0,0529780663",Afrotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_trinotatus,"1,532835304","0,4221167033","-0,4035188669","0,1565581266","0,2818309568","-0,04142215572","-0,009144915019","-0,1565008996","-0,127545926","0,5163768206","-0,5341264551","-0,02130746322","0,06670950758",Australian,Carnivore,Vertivore,Vertivore perch
Accipiter_trivirgatus,"2,559897279","0,2800884712","-0,490300337","-0,1322400527","0,2729602792","-0,01776663238","-0,008421088492","-0,07456507349","0,1716228061","1,111879223","-0,3625832146","-0,044065696","-0,2199875073",Indo_Malay,Carnivore,Vertivore,Vertivore perch
Accipiter_ventralis,"1,765329145","0,988925534","-0,2118238509","0,08891539411","0,1307592345","-0,02523040484","-0,08744539808","-0,09719273771","-0,0716464964","0,1054060553","-0,5313729395","-0,106953037","-0,06165517791",Neotropic,Carnivore,Vertivore,Vertivore perch
Accipiter_virgatus,"1,330433891","0,4994722029","-0,441718734","-0,02147918803","0,316649107","0,04671325475","-0,05539982017","-0,1504990161","0,08696072914","0,3524611052","-0,4594592624","-0,08129926432","-0,1358337345",Indo_Malay,Carnivore,Vertivore,Generalist
Aceros_cassidix,"6,355122978","-1,835065761","-0,3044559162","-0,1342481686","0,1472643164","-0,02019233761","0,2049709113","0,124958566","0,1975737088","4,636274712","0,3395838877","0,1945815348","-0,0742959893",Australian,Herbivore,Frugivore,Fugivore glean
