Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Class
Cyanocitta_stelleri,0,0.022161792572071,0.00443235851441421,0,0.00735494490985608,0.161808788016834,0.570565423310047,0.0475471186091706,0.0713206779137559,0.026092930944057,0.0887159652097939,0,Aves
Cyanistes_caeruleus,0,0.0157472657746464,0,0,0,0.166371375616484,0.795840906251592,0,0,0.00788682068332351,0.0141536316739532,0,Aves
Catharus_ustulatus,0.00402522877482044,0.0281766014237431,0,0.0379055956689568,0,0.170575180510306,0.710272437465902,0,0,0,0.0490449561562721,0,Aves
Troglodytes_aedon,0,0.0447299364883676,0.00508294732822359,0,0,0.173977017861888,0.7100997723974,0.00959594287023514,0.0191918857404703,0.00622041621890262,0.0290286090215456,0.00207347207296754,Aves
Ceyx_lepidus,0.0031307539538687,0.0250460316309496,0.00156537697693435,0.0197982808826596,0,0.175356202103556,0.712865618268549,0.00800972604796122,0.00800972604796122,0.0075458423000098,0.0386724417875502,0,Aves
Phoenicurus_phoenicurus,0,0.019865543179156,0,0.0194896304261297,0,0.175406673835168,0.564952578175153,0.0564952578175153,0.112990515635031,0,0.0507998009318471,0,Aves
Alethe_poliocephala,0.00155037425971987,0.0186044911166385,0.00775187129859937,0.0458844807504329,0,0.176982997180241,0.690940093630305,0,0,0.0145714229410158,0.0412856983328782,0.00242857049016931,Aves
Taeniopygia_guttata,0,0.0221932657887072,0.0052509737937833,0,0,0.177587007229625,0.674135967544532,0,0.056368317399888,0.00669519535388882,0.05106307435647,0.00670619853310565,Aves
Vireo_solitarius,0,0.0665148901656538,0.0148401213682291,0,0,0.178486318567739,0.695617265924077,0,0,0,0.044541403974302,0,Aves
Pygoscelis_papua,0,0,0,0.0595370804975358,0,0.178611241492607,0.382480638347806,0,0.191240319173903,0.136822342173199,0.0513083783149495,0,Aves
Margarops_fuscus,0,0.0624155223404923,0,0,0,0.179082511356687,0.654220503915757,0,0,0,0.104281462387063,0,Aves
Zosterops_senegalensis,0.00139804491185367,0.0267367748879186,0.00420127487064881,0.0165496585986889,0,0.180613536677876,0.66735267270959,0,0.040825137876999,0.0346443173711408,0.0257147090176314,0.00196387307765315,Aves
Tetraogallus_himalayensis,0.0183325294209055,0.0130637623798495,0.0320819264865847,0.0510806088660987,0.0170268696220329,0.180859078646925,0.425350547492303,0.0650804794442147,0.0650804794442147,0.0609025635967383,0.0711411546001325,0,Aves
Loxigilla_violacea,0,0.0712077893022532,0,0.0364291223168755,0,0.182145611584378,0.637446175175432,0,0,0.0121285502701769,0.0606427513508847,0,Aves
Regulus_regulus,0.00258380416796921,0.0245483877742025,0.0132425584054659,0.0535035264524569,0,0.184067496716846,0.540846729531236,0.0776565051623768,0.026190924676948,0.0457417374274135,0.0316183296850856,0,Aves
Eurystomus_orientalis,0,0.00737786300044126,0,0,0,0.187129434283919,0.411684755424622,0.117624215835606,0.17643632375341,0,0.0906794615472737,0.00906794615472736,Aves
Ara_militaris,0,0.0747128308311258,0,0,0,0.187717223774772,0.464547784760409,0,0.169839392939079,0,0.103182767694614,0,Aves
Leptotila_verreauxi,0.00563030571373563,0.0394121399961494,0.00563030571373563,0.0145710226573066,0.0145710226573066,0.189423294544985,0.629468178795643,0,0,0.0144705328458769,0.0868231970752611,0,Aves
