Species Class
611 Heterandria_formosa Actinopterygii
612 Heterocephalus_glaber Mammalia
613 Heteronotia_binoei Reptilia
614 Heterotis_niloticus Actinopterygii
615 Hexagrammos_otakii Actinopterygii
616 Hierophis_gemonensis Reptilia
617 Hippocampus_abdominalis Actinopterygii
618 Hippocampus_comes Actinopterygii
619 Hippocampus_erectus Actinopterygii
620 Hippocampus_ingens Actinopterygii
621 Hippocampus_kelloggi Actinopterygii
622 Hippocampus_kuda Actinopterygii
623 Hippocampus_reidi Actinopterygii
624 Hippocampus_sp. Actinopterygii
625 Hippocampus_trimaculatus Actinopterygii
626 Hippoglossoides_robustus Actinopterygii
627 Hippoglossus_hippoglossus Actinopterygii
628 Hippoglossus_stenolepis Actinopterygii
629 Hipposideros_armiger Mammalia
630 Hipposideros_caffer Mammalia
631 Hipposideros_larvatus Mammalia
632 Hipposideros_pomona Mammalia
633 Hipposideros_pratti Mammalia
634 Hipposideros_ruber Mammalia
635 Hippotragus_niger Mammalia
636 Hirundo_rustica Aves
637 Holochilus_chacarius Mammalia
638 Homatula_potanini Actinopterygii
639 Homatula_variegata Actinopterygii
640 Hoplobatrachus_rugulosus Amphibia
641 Hoplobatrachus_tigerinus Amphibia
642 Horabagrus_brachysoma Actinopterygii
643 Hucho_taimen Actinopterygii
644 Huso_dauricus Actinopterygii
645 Huso_huso Actinopterygii
646 Hydropotes_inermis Mammalia
647 Hylaeamys_megacephalus Mammalia
648 Hylobates_agilis Mammalia
649 Hylobates_lar Mammalia
650 Hylobates_pileatus Mammalia
651 Hylomys_suillus Mammalia
652 Hynobius_amjiensis Amphibia
653 Hynobius_chinensis Amphibia
654 Hynobius_leechii Amphibia
655 Hynobius_nebulosus Amphibia
656 Hynobius_tokyoensis Amphibia
657 Hynobius_yiwuensis Amphibia
658 Hypentelium_nigricans Actinopterygii
659 Hyperoglyphe_japonica Actinopterygii
660 Hypomesus_olidus Actinopterygii
661 Hypophthalmichthys_molitrix Actinopterygii
662 Hypophthalmichthys_nobilis Actinopterygii
