Species A_T A_G A_C T_A T_G T_C G_A G_T G_C C_A C_T C_G
Apodemus_latronum 0.178985092336454 0.3324008857677 0.102277195620831 0.0571023530791465 0 0.17130705923744 0.0245759145689471 0.000983036582757883 0 0.0305465683400134 0.101821894466711 0
Apodemus_peninsulae 0.113287804243875 0.317205851882849 0.0679726825463247 0.00697561986325023 0.00697561986325023 0.244146695213758 0.0197527453553422 0.00151944195041094 0 0.0634752968802688 0.158688242200672 0
Apodemus_speciosus 0.0772085286073034 0.347438378732865 0.0772085286073034 0.0190182184615877 0 0.0855819830771445 0.00959708248692397 0.000799756873910331 0 0.039635950670996 0.343511572481965 0
Apteronotus_albifrons 0.0729046206445774 0.145809241289155 0.0729046206445774 0.0301674292322389 0 0.150837146161195 0.00905022876967168 0 0 0.0398712856352758 0.478455427623309 0
Arachnothera_longirostra 0 0.0445718513038654 0.312002959127058 0.093212502311818 0 0.332901793970779 0.111522100980211 0 0.00619567227667838 0.0995931200295913 0 0
Arctocephalus_forsteri 0.112352620216829 0.449410480867317 0.0561763101084146 0.00771000877754846 0 0.0462600526652907 0.0879652693758451 0 0 0.0686072165682158 0.171518041420539 0
Artibeus_fimbriatus 0.0466445396978946 0.116611349244737 0.0466445396978946 0.0182797671664693 0 0.292476274663509 0.000266857914838968 0 0.000133428957419484 0.0266079579254021 0.439031305769135 0.013303978962701
Artibeus_glaucus 0 0.127647636414644 0.0382942909243933 0.0111570292521338 0.00557851462606688 0.34028939219008 0.033233704155292 0.00528718020652373 0 0.0822210472932874 0.356291204937579 0
Artibeus_jamaicensis 0.0200142550656394 0.140099785459476 0.0800570202625576 0.00845300383529147 0.00422650191764573 0.22823110355287 0.00261342870055609 0.000137548878976636 0.000137548878976636 0.0660038120689316 0.438025298275637 0.0120006931034421
Artibeus_obscurus 0.0277791407602638 0.277791407602638 0.0277791407602638 0.0110962351308346 0 0.244117172878362 0.00355387947652126 0.00027337534434779 0 0.0407609648046768 0.358696490281156 0.00815219296093537
